idade,profissao,estado_civil,educacao,tem_inadimplencia,saldo_anual,emprestimo_habitacional,emprestimo_pessoal,tipo_contato,dia,mes,duracao_segundos,num_contatos_campanha,dias_desde_ultimo_contato,contatos_anteriores,resultado_campanha_anterior,assinou_deposito
32,gerencia,casado,superior,nao,0,sim,nao,desconhecido,5,mai,179,1,-1,0,desconhecido,nao
42,administrativo,solteiro,medio,nao,-76,sim,nao,desconhecido,5,mai,787,1,-1,0,desconhecido,nao
24,tecnico,solteiro,medio,nao,-103,sim,sim,desconhecido,5,mai,145,1,-1,0,desconhecido,nao
38,empreendedor,solteiro,superior,nao,243,nao,sim,desconhecido,5,mai,174,1,-1,0,desconhecido,nao
38,gerencia,solteiro,superior,nao,424,sim,nao,desconhecido,5,mai,104,1,-1,0,desconhecido,nao
47,operario,casado,desconhecido,nao,306,sim,nao,desconhecido,5,mai,13,1,-1,0,desconhecido,nao
40,operario,solteiro,desconhecido,nao,24,sim,nao,desconhecido,5,mai,185,1,-1,0,desconhecido,nao
46,servicos,casado,fundamental,nao,179,sim,nao,desconhecido,5,mai,1778,1,-1,0,desconhecido,nao
32,administrativo,casado,superior,nao,0,sim,nao,desconhecido,5,mai,138,1,-1,0,desconhecido,nao
53,tecnico,divorciado,medio,nao,989,sim,nao,desconhecido,5,mai,812,1,-1,0,desconhecido,nao
57,operario,casado,fundamental,nao,249,sim,nao,desconhecido,5,mai,164,1,-1,0,desconhecido,nao
33,servicos,casado,medio,nao,790,sim,nao,desconhecido,5,mai,391,1,-1,0,desconhecido,nao
49,operario,casado,desconhecido,nao,154,sim,nao,desconhecido,5,mai,357,1,-1,0,desconhecido,nao
51,gerencia,casado,superior,nao,6530,sim,nao,desconhecido,5,mai,91,1,-1,0,desconhecido,nao
60,aposentado,casado,superior,nao,100,nao,nao,desconhecido,5,mai,528,1,-1,0,desconhecido,nao
59,gerencia,divorciado,superior,nao,59,sim,nao,desconhecido,5,mai,273,1,-1,0,desconhecido,nao
55,tecnico,casado,medio,nao,1205,sim,nao,desconhecido,5,mai,158,2,-1,0,desconhecido,nao
35,operario,solteiro,medio,nao,12223,sim,sim,desconhecido,5,mai,177,1,-1,0,desconhecido,nao
57,operario,casado,medio,nao,5935,sim,sim,desconhecido,5,mai,258,1,-1,0,desconhecido,nao
31,servicos,casado,medio,nao,25,sim,sim,desconhecido,5,mai,172,1,-1,0,desconhecido,nao
54,gerencia,casado,medio,nao,282,sim,sim,desconhecido,5,mai,154,1,-1,0,desconhecido,nao
55,operario,casado,fundamental,nao,23,sim,nao,desconhecido,5,mai,291,1,-1,0,desconhecido,nao
43,tecnico,casado,medio,nao,1937,sim,nao,desconhecido,5,mai,181,1,-1,0,desconhecido,nao
53,tecnico,casado,medio,nao,384,sim,nao,desconhecido,5,mai,176,1,-1,0,desconhecido,nao
44,operario,casado,medio,nao,582,nao,sim,desconhecido,5,mai,211,1,-1,0,desconhecido,nao
55,servicos,divorciado,medio,nao,91,nao,nao,desconhecido,5,mai,349,1,-1,0,desconhecido,nao
49,servicos,divorciado,medio,nao,0,sim,sim,desconhecido,5,mai,272,1,-1,0,desconhecido,nao
55,servicos,divorciado,medio,sim,1,sim,nao,desconhecido,5,mai,208,1,-1,0,desconhecido,nao
45,administrativo,solteiro,medio,nao,206,sim,nao,desconhecido,5,mai,193,1,-1,0,desconhecido,nao
47,servicos,divorciado,medio,nao,164,nao,nao,desconhecido,5,mai,212,1,-1,0,desconhecido,nao
42,tecnico,solteiro,medio,nao,690,sim,nao,desconhecido,5,mai,20,1,-1,0,desconhecido,nao
59,administrativo,casado,medio,nao,2343,sim,nao,desconhecido,5,mai,1042,1,-1,0,desconhecido,sim
46,autonomo,casado,superior,nao,137,sim,sim,desconhecido,5,mai,246,1,-1,0,desconhecido,nao
51,operario,casado,fundamental,nao,173,sim,nao,desconhecido,5,mai,529,2,-1,0,desconhecido,nao
56,administrativo,casado,medio,nao,45,nao,nao,desconhecido,5,mai,1467,1,-1,0,desconhecido,sim
41,tecnico,casado,medio,nao,1270,sim,nao,desconhecido,5,mai,1389,1,-1,0,desconhecido,sim
46,gerencia,divorciado,medio,nao,16,sim,sim,desconhecido,5,mai,188,2,-1,0,desconhecido,nao
57,aposentado,casado,medio,nao,486,sim,nao,desconhecido,5,mai,180,2,-1,0,desconhecido,nao
42,gerencia,solteiro,medio,nao,50,nao,nao,desconhecido,5,mai,48,1,-1,0,desconhecido,nao
30,tecnico,casado,medio,nao,152,sim,sim,desconhecido,5,mai,213,2,-1,0,desconhecido,nao
60,administrativo,casado,medio,nao,290,sim,nao,desconhecido,5,mai,583,1,-1,0,desconhecido,nao
60,operario,casado,desconhecido,nao,54,sim,nao,desconhecido,5,mai,221,1,-1,0,desconhecido,nao
57,empreendedor,divorciado,medio,nao,-37,nao,nao,desconhecido,5,mai,173,1,-1,0,desconhecido,nao
36,gerencia,casado,superior,nao,101,sim,sim,desconhecido,5,mai,426,1,-1,0,desconhecido,nao
55,operario,casado,medio,nao,383,nao,nao,desconhecido,5,mai,287,1,-1,0,desconhecido,nao
60,aposentado,casado,superior,nao,81,sim,nao,desconhecido,5,mai,101,1,-1,0,desconhecido,nao
39,tecnico,casado,medio,nao,0,sim,nao,desconhecido,5,mai,203,1,-1,0,desconhecido,nao
46,gerencia,casado,superior,nao,229,sim,nao,desconhecido,5,mai,197,1,-1,0,desconhecido,nao
44,operario,casado,medio,nao,-674,sim,nao,desconhecido,5,mai,257,1,-1,0,desconhecido,nao
53,operario,casado,fundamental,nao,90,nao,nao,desconhecido,5,mai,124,1,-1,0,desconhecido,nao
52,operario,casado,fundamental,nao,128,sim,nao,desconhecido,5,mai,229,1,-1,0,desconhecido,nao
59,operario,casado,fundamental,nao,179,sim,nao,desconhecido,5,mai,55,3,-1,0,desconhecido,nao
27,tecnico,solteiro,superior,nao,0,sim,nao,desconhecido,5,mai,400,1,-1,0,desconhecido,nao
44,operario,casado,medio,nao,54,sim,nao,desconhecido,5,mai,197,1,-1,0,desconhecido,nao
47,tecnico,casado,superior,nao,151,sim,nao,desconhecido,5,mai,190,1,-1,0,desconhecido,nao
34,administrativo,casado,medio,nao,61,nao,sim,desconhecido,5,mai,21,1,-1,0,desconhecido,nao
59,aposentado,solteiro,medio,nao,30,sim,nao,desconhecido,5,mai,514,1,-1,0,desconhecido,nao
45,gerencia,casado,superior,nao,523,sim,nao,desconhecido,5,mai,849,2,-1,0,desconhecido,nao
29,servicos,divorciado,medio,nao,31,sim,nao,desconhecido,5,mai,194,1,-1,0,desconhecido,nao
46,tecnico,divorciado,medio,nao,79,nao,nao,desconhecido,5,mai,144,1,-1,0,desconhecido,nao
56,autonomo,casado,fundamental,nao,-34,sim,sim,desconhecido,5,mai,212,2,-1,0,desconhecido,nao
36,operario,casado,fundamental,nao,448,sim,nao,desconhecido,5,mai,286,1,-1,0,desconhecido,nao
59,aposentado,divorciado,fundamental,nao,81,sim,nao,desconhecido,5,mai,107,1,-1,0,desconhecido,nao
44,operario,casado,medio,nao,144,sim,nao,desconhecido,5,mai,247,2,-1,0,desconhecido,nao
41,administrativo,casado,medio,nao,351,sim,nao,desconhecido,5,mai,518,1,-1,0,desconhecido,nao
33,gerencia,solteiro,superior,nao,-67,sim,nao,desconhecido,5,mai,364,1,-1,0,desconhecido,nao
59,gerencia,divorciado,superior,nao,262,nao,nao,desconhecido,5,mai,178,1,-1,0,desconhecido,nao
57,tecnico,casado,fundamental,nao,0,nao,nao,desconhecido,5,mai,98,1,-1,0,desconhecido,nao
56,tecnico,divorciado,desconhecido,nao,56,sim,nao,desconhecido,5,mai,439,1,-1,0,desconhecido,nao
51,operario,casado,medio,nao,26,sim,nao,desconhecido,5,mai,79,1,-1,0,desconhecido,nao
34,administrativo,casado,desconhecido,nao,3,sim,nao,desconhecido,5,mai,120,3,-1,0,desconhecido,nao
43,servicos,casado,medio,nao,41,sim,sim,desconhecido,5,mai,127,2,-1,0,desconhecido,nao
52,tecnico,casado,superior,nao,7,nao,sim,desconhecido,5,mai,175,1,-1,0,desconhecido,nao
33,tecnico,solteiro,medio,nao,105,sim,nao,desconhecido,5,mai,262,2,-1,0,desconhecido,nao
29,administrativo,solteiro,medio,nao,818,sim,sim,desconhecido,5,mai,61,1,-1,0,desconhecido,nao
34,servicos,casado,medio,nao,-16,sim,sim,desconhecido,5,mai,78,1,-1,0,desconhecido,nao
31,operario,casado,medio,nao,0,sim,nao,desconhecido,5,mai,143,1,-1,0,desconhecido,nao
55,servicos,casado,medio,nao,2476,sim,nao,desconhecido,5,mai,579,1,-1,0,desconhecido,sim
55,gerencia,casado,desconhecido,nao,1185,nao,nao,desconhecido,5,mai,677,1,-1,0,desconhecido,nao
32,administrativo,solteiro,medio,nao,217,sim,nao,desconhecido,5,mai,345,1,-1,0,desconhecido,nao
38,tecnico,solteiro,medio,nao,1685,sim,nao,desconhecido,5,mai,185,1,-1,0,desconhecido,nao
55,administrativo,solteiro,medio,nao,802,sim,sim,desconhecido,5,mai,100,2,-1,0,desconhecido,nao
28,desempregado,solteiro,superior,nao,0,sim,nao,desconhecido,5,mai,125,2,-1,0,desconhecido,nao
23,operario,casado,medio,nao,94,sim,nao,desconhecido,5,mai,193,1,-1,0,desconhecido,nao
32,tecnico,solteiro,medio,nao,0,sim,nao,desconhecido,5,mai,136,1,-1,0,desconhecido,nao
43,servicos,solteiro,desconhecido,nao,0,nao,nao,desconhecido,5,mai,73,1,-1,0,desconhecido,nao
32,operario,casado,medio,nao,517,sim,nao,desconhecido,5,mai,528,1,-1,0,desconhecido,nao
46,operario,casado,medio,nao,265,sim,nao,desconhecido,5,mai,541,1,-1,0,desconhecido,nao
53,domestica,divorciado,fundamental,nao,947,sim,nao,desconhecido,5,mai,163,1,-1,0,desconhecido,nao
34,autonomo,solteiro,medio,nao,3,sim,nao,desconhecido,5,mai,301,1,-1,0,desconhecido,nao
57,desempregado,casado,superior,nao,42,nao,nao,desconhecido,5,mai,46,1,-1,0,desconhecido,nao
37,operario,casado,medio,nao,37,sim,nao,desconhecido,5,mai,204,1,-1,0,desconhecido,nao
59,operario,casado,medio,nao,57,sim,nao,desconhecido,5,mai,98,1,-1,0,desconhecido,nao
33,servicos,casado,medio,nao,22,sim,nao,desconhecido,5,mai,71,1,-1,0,desconhecido,nao
56,operario,divorciado,fundamental,nao,8,sim,nao,desconhecido,5,mai,157,2,-1,0,desconhecido,nao
48,desempregado,casado,medio,nao,293,sim,nao,desconhecido,5,mai,243,1,-1,0,desconhecido,nao
43,servicos,casado,fundamental,nao,3,sim,nao,desconhecido,5,mai,186,2,-1,0,desconhecido,nao
54,operario,casado,fundamental,nao,348,sim,nao,desconhecido,5,mai,579,2,-1,0,desconhecido,nao
51,operario,casado,desconhecido,nao,-19,sim,nao,desconhecido,5,mai,163,2,-1,0,desconhecido,nao
26,estudante,solteiro,medio,nao,0,sim,nao,desconhecido,5,mai,610,2,-1,0,desconhecido,nao
40,gerencia,casado,superior,nao,-4,sim,nao,desconhecido,5,mai,2033,1,-1,0,desconhecido,nao
39,gerencia,casado,medio,nao,18,sim,nao,desconhecido,5,mai,85,1,-1,0,desconhecido,nao
50,tecnico,casado,fundamental,nao,139,nao,nao,desconhecido,5,mai,114,2,-1,0,desconhecido,nao
41,servicos,casado,medio,nao,0,sim,nao,desconhecido,5,mai,114,2,-1,0,desconhecido,nao
51,operario,casado,desconhecido,nao,1883,sim,nao,desconhecido,5,mai,57,1,-1,0,desconhecido,nao
60,aposentado,divorciado,medio,nao,216,sim,nao,desconhecido,5,mai,238,1,-1,0,desconhecido,nao
52,operario,casado,medio,nao,782,sim,nao,desconhecido,5,mai,93,3,-1,0,desconhecido,nao
48,operario,casado,medio,nao,904,sim,nao,desconhecido,5,mai,128,2,-1,0,desconhecido,nao
48,servicos,casado,desconhecido,nao,1705,sim,nao,desconhecido,5,mai,107,1,-1,0,desconhecido,nao
39,tecnico,solteiro,superior,nao,47,sim,nao,desconhecido,5,mai,181,1,-1,0,desconhecido,nao
47,servicos,solteiro,medio,nao,176,sim,nao,desconhecido,5,mai,303,2,-1,0,desconhecido,nao
40,operario,casado,medio,nao,1225,sim,nao,desconhecido,5,mai,558,5,-1,0,desconhecido,nao
45,tecnico,casado,medio,nao,86,sim,nao,desconhecido,5,mai,270,1,-1,0,desconhecido,nao
26,administrativo,solteiro,medio,nao,82,sim,nao,desconhecido,5,mai,228,1,-1,0,desconhecido,nao
52,gerencia,casado,superior,nao,271,sim,nao,desconhecido,5,mai,99,1,-1,0,desconhecido,nao
54,tecnico,casado,medio,nao,1378,sim,nao,desconhecido,5,mai,240,1,-1,0,desconhecido,nao
54,administrativo,casado,superior,nao,184,nao,nao,desconhecido,5,mai,673,2,-1,0,desconhecido,sim
50,operario,casado,fundamental,nao,0,nao,nao,desconhecido,5,mai,233,3,-1,0,desconhecido,nao
35,operario,casado,medio,nao,0,sim,nao,desconhecido,5,mai,1056,1,-1,0,desconhecido,nao
44,servicos,casado,medio,nao,1357,sim,sim,desconhecido,5,mai,250,1,-1,0,desconhecido,nao
53,empreendedor,casado,desconhecido,nao,19,sim,nao,desconhecido,5,mai,252,1,-1,0,desconhecido,nao
35,aposentado,solteiro,fundamental,nao,434,nao,nao,desconhecido,5,mai,138,1,-1,0,desconhecido,nao
60,administrativo,divorciado,medio,nao,92,sim,nao,desconhecido,5,mai,130,1,-1,0,desconhecido,nao
53,administrativo,divorciado,medio,nao,1151,sim,nao,desconhecido,5,mai,412,1,-1,0,desconhecido,nao
48,desempregado,casado,medio,nao,41,sim,nao,desconhecido,5,mai,179,2,-1,0,desconhecido,nao
34,tecnico,casado,medio,nao,51,sim,nao,desconhecido,5,mai,19,2,-1,0,desconhecido,nao
54,servicos,casado,medio,nao,214,sim,nao,desconhecido,5,mai,458,2,-1,0,desconhecido,nao
51,gerencia,casado,medio,nao,1161,sim,nao,desconhecido,5,mai,717,1,-1,0,desconhecido,nao
31,servicos,casado,superior,nao,37,sim,nao,desconhecido,5,mai,313,1,-1,0,desconhecido,nao
35,tecnico,divorciado,medio,nao,787,sim,nao,desconhecido,5,mai,683,2,-1,0,desconhecido,nao
35,servicos,casado,medio,nao,59,sim,nao,desconhecido,5,mai,1077,1,-1,0,desconhecido,nao
38,tecnico,casado,medio,nao,253,sim,nao,desconhecido,5,mai,416,1,-1,0,desconhecido,nao
36,administrativo,casado,superior,nao,211,sim,nao,desconhecido,5,mai,146,2,-1,0,desconhecido,nao
58,aposentado,casado,fundamental,nao,235,sim,nao,desconhecido,5,mai,167,1,-1,0,desconhecido,nao
40,servicos,divorciado,desconhecido,nao,4384,sim,nao,desconhecido,5,mai,315,1,-1,0,desconhecido,nao
54,gerencia,casado,medio,nao,4080,nao,nao,desconhecido,5,mai,140,1,-1,0,desconhecido,nao
34,operario,solteiro,medio,nao,53,sim,sim,desconhecido,5,mai,346,1,-1,0,desconhecido,nao
31,gerencia,solteiro,superior,nao,0,sim,nao,desconhecido,5,mai,562,1,-1,0,desconhecido,nao
51,aposentado,casado,medio,nao,2127,sim,nao,desconhecido,5,mai,172,1,-1,0,desconhecido,nao
33,gerencia,casado,superior,nao,377,sim,nao,desconhecido,5,mai,217,1,-1,0,desconhecido,nao
55,gerencia,casado,superior,nao,73,sim,nao,desconhecido,5,mai,142,2,-1,0,desconhecido,nao
42,administrativo,casado,medio,nao,445,sim,nao,desconhecido,5,mai,67,1,-1,0,desconhecido,nao
34,operario,casado,medio,nao,243,sim,nao,desconhecido,5,mai,291,1,-1,0,desconhecido,nao
33,operario,solteiro,medio,nao,307,sim,nao,desconhecido,5,mai,309,2,-1,0,desconhecido,nao
38,servicos,casado,medio,nao,155,sim,nao,desconhecido,5,mai,248,1,-1,0,desconhecido,nao
50,tecnico,divorciado,superior,nao,173,nao,sim,desconhecido,5,mai,98,1,-1,0,desconhecido,nao
43,gerencia,casado,superior,nao,400,sim,nao,desconhecido,5,mai,256,1,-1,0,desconhecido,nao
61,operario,divorciado,fundamental,nao,1428,sim,nao,desconhecido,5,mai,82,2,-1,0,desconhecido,nao
47,administrativo,casado,medio,nao,219,sim,nao,desconhecido,5,mai,577,1,-1,0,desconhecido,nao
48,autonomo,casado,superior,nao,7,sim,nao,desconhecido,5,mai,286,1,-1,0,desconhecido,nao
44,operario,casado,medio,nao,575,sim,nao,desconhecido,5,mai,477,1,-1,0,desconhecido,nao
35,estudante,solteiro,desconhecido,nao,298,sim,nao,desconhecido,5,mai,611,2,-1,0,desconhecido,nao
35,servicos,casado,medio,nao,0,sim,nao,desconhecido,5,mai,471,1,-1,0,desconhecido,nao
50,servicos,casado,medio,nao,5699,sim,nao,desconhecido,5,mai,381,2,-1,0,desconhecido,nao
41,gerencia,casado,superior,nao,176,sim,sim,desconhecido,5,mai,42,1,-1,0,desconhecido,nao
41,gerencia,casado,superior,nao,517,sim,nao,desconhecido,5,mai,251,1,-1,0,desconhecido,nao
39,servicos,solteiro,desconhecido,nao,257,sim,nao,desconhecido,5,mai,408,1,-1,0,desconhecido,nao
42,aposentado,casado,medio,nao,56,sim,nao,desconhecido,5,mai,215,1,-1,0,desconhecido,nao
38,operario,casado,medio,nao,-390,sim,nao,desconhecido,5,mai,287,1,-1,0,desconhecido,nao
53,aposentado,casado,medio,nao,330,sim,nao,desconhecido,5,mai,216,2,-1,0,desconhecido,nao
59,domestica,divorciado,fundamental,nao,195,nao,nao,desconhecido,5,mai,366,2,-1,0,desconhecido,nao
36,servicos,casado,medio,nao,301,sim,nao,desconhecido,5,mai,210,1,-1,0,desconhecido,nao
54,operario,casado,fundamental,nao,-41,sim,nao,desconhecido,5,mai,288,1,-1,0,desconhecido,nao
40,tecnico,casado,superior,nao,483,sim,nao,desconhecido,5,mai,168,1,-1,0,desconhecido,nao
47,desconhecido,casado,desconhecido,nao,28,nao,nao,desconhecido,5,mai,338,2,-1,0,desconhecido,nao
53,desempregado,casado,desconhecido,nao,13,nao,nao,desconhecido,5,mai,410,3,-1,0,desconhecido,nao
46,domestica,casado,fundamental,nao,965,nao,nao,desconhecido,5,mai,177,1,-1,0,desconhecido,nao
39,gerencia,casado,superior,nao,378,sim,sim,desconhecido,5,mai,127,2,-1,0,desconhecido,nao
40,desempregado,casado,medio,nao,219,sim,nao,desconhecido,5,mai,357,1,-1,0,desconhecido,nao
28,operario,casado,fundamental,nao,324,sim,nao,desconhecido,5,mai,175,1,-1,0,desconhecido,nao
35,empreendedor,divorciado,medio,nao,-69,sim,nao,desconhecido,5,mai,300,1,-1,0,desconhecido,nao
55,aposentado,casado,medio,nao,0,nao,sim,desconhecido,5,mai,136,1,-1,0,desconhecido,nao
43,tecnico,divorciado,desconhecido,nao,205,sim,nao,desconhecido,5,mai,1419,1,-1,0,desconhecido,nao
48,operario,casado,fundamental,nao,278,sim,nao,desconhecido,5,mai,125,2,-1,0,desconhecido,nao
58,gerencia,casado,desconhecido,nao,1065,sim,nao,desconhecido,5,mai,213,3,-1,0,desconhecido,nao
33,gerencia,solteiro,superior,nao,34,sim,nao,desconhecido,5,mai,27,1,-1,0,desconhecido,nao
36,operario,casado,desconhecido,nao,1033,nao,nao,desconhecido,5,mai,238,2,-1,0,desconhecido,nao
53,servicos,divorciado,medio,nao,1467,sim,nao,desconhecido,5,mai,124,1,-1,0,desconhecido,nao
47,operario,casado,fundamental,nao,-12,sim,nao,desconhecido,5,mai,18,1,-1,0,desconhecido,nao
31,servicos,casado,medio,nao,388,sim,nao,desconhecido,5,mai,730,2,-1,0,desconhecido,nao
57,empreendedor,casado,medio,nao,294,sim,nao,desconhecido,5,mai,746,2,-1,0,desconhecido,nao
53,operario,casado,desconhecido,nao,1827,nao,nao,desconhecido,5,mai,121,1,-1,0,desconhecido,nao
55,operario,casado,fundamental,nao,627,sim,nao,desconhecido,5,mai,247,1,-1,0,desconhecido,nao
45,operario,casado,fundamental,nao,25,sim,nao,desconhecido,5,mai,40,1,-1,0,desconhecido,nao
53,administrativo,divorciado,medio,nao,315,sim,nao,desconhecido,5,mai,181,2,-1,0,desconhecido,nao
37,operario,casado,fundamental,nao,0,sim,nao,desconhecido,5,mai,79,1,-1,0,desconhecido,nao
44,administrativo,divorciado,medio,nao,66,sim,nao,desconhecido,5,mai,206,1,-1,0,desconhecido,nao
49,operario,divorciado,fundamental,nao,-9,sim,sim,desconhecido,5,mai,389,1,-1,0,desconhecido,nao
46,tecnico,casado,medio,nao,349,sim,sim,desconhecido,5,mai,127,1,-1,0,desconhecido,nao
43,empreendedor,casado,desconhecido,nao,100,sim,nao,desconhecido,5,mai,702,1,-1,0,desconhecido,nao
38,administrativo,casado,medio,nao,0,nao,nao,desconhecido,5,mai,151,1,-1,0,desconhecido,nao
43,tecnico,casado,medio,nao,434,sim,nao,desconhecido,5,mai,117,1,-1,0,desconhecido,nao
49,gerencia,casado,superior,nao,3237,sim,nao,desconhecido,5,mai,232,3,-1,0,desconhecido,nao
42,gerencia,casado,desconhecido,nao,275,nao,nao,desconhecido,5,mai,408,2,-1,0,desconhecido,nao
22,operario,solteiro,medio,nao,0,sim,nao,desconhecido,5,mai,179,2,-1,0,desconhecido,nao
40,gerencia,casado,superior,nao,207,sim,nao,desconhecido,5,mai,39,1,-1,0,desconhecido,nao
39,operario,casado,medio,nao,483,sim,nao,desconhecido,5,mai,282,1,-1,0,desconhecido,nao
51,servicos,casado,medio,nao,2248,sim,nao,desconhecido,5,mai,714,2,-1,0,desconhecido,nao
49,administrativo,casado,medio,nao,428,sim,nao,desconhecido,5,mai,50,1,-1,0,desconhecido,nao
53,operario,casado,medio,nao,0,sim,sim,desconhecido,5,mai,181,1,-1,0,desconhecido,nao
34,servicos,solteiro,medio,nao,0,sim,nao,desconhecido,5,mai,142,1,-1,0,desconhecido,nao
33,tecnico,divorciado,medio,nao,140,sim,nao,desconhecido,5,mai,227,1,-1,0,desconhecido,nao
