DATA_REGISTRO,PROCEDIMENTO,TIPO_PROPRIEDADE,BAIRRO,SUBTIPO_IMOVEL,VALOR_TRANSACAO,AREA_UTIL_M2,QUARTOS,METRO_MAIS_PROXIMO,SHOPPING_MAIS_PROXIMO,PONTO_REFERENCIA_MAIS_PROXIMO,PROJETO,PRECO_POR_M2,CATEGORIA_TAMANHO,FAIXA_DE_VALOR
2026-03-09,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 2 & 3,Apartamento,250000.0,34.75,Studio,Rashidiya Metro Station,City Centre Mirdif,,AL JAWZAA,7194.24,Compacto,Entrada
2026-03-07,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,406909.0,69.0,1 Quarto(s),Rashidiya Metro Station,City Centre Mirdif,,,5897.23,Médio,Entrada
2026-03-07,Venda,Propriedade Plena (Freehold),DISCOVERY GARDENS,Apartamento,525000.0,45.0,Studio,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,,11666.67,Compacto,Entrada
2026-03-07,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,1200000.0,107.45,1 Quarto(s),Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,THE HAVEN RESIDENCES,11167.99,Spacious,Mercado Médio
2026-03-07,Venda,Propriedade Plena (Freehold),ARJAN,Apartamento,900000.0,48.28,1 Quarto(s),Sharaf Dg Metro Station,Mall of the Emirates,Motor City,TORINO BY ORO24,18641.26,Médio,Mercado Médio
2026-03-07,Venda,Propriedade Plena (Freehold),SOBHA HEARTLAND,Shop,7500000.0,164.4,,,,,Sobha Hartland - The Crest,45620.44,Premium,Ultra-Premium
2026-03-07,Venda,Propriedade Plena (Freehold),JUMEIRAH LAKES TOWERS,Apartamento,1180757.92,137.12,2 Quarto(s),Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,Orra The Embankment,8611.13,Premium,Mercado Médio
2026-03-08,Venda,Propriedade Plena (Freehold),DUBAI PRODUCTION CITY,Apartamento,350000.0,46.17,Studio,Damac Properties,Marina Mall,Sports City Swimming Academy,LAGO VISTA,7580.68,Médio,Entrada
2026-03-08,Venda,Propriedade Plena (Freehold),DUBAI LAND RESIDENCE COMPLEX,Apartamento,612000.0,78.29,1 Quarto(s),,,IMG World Adventures,SKY COURTS,7817.09,Médio,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,750000.0,105.1,2 Quarto(s),Rashidiya Metro Station,City Centre Mirdif,,HDS SUNSTAR 1,7136.06,Spacious,Mercado Médio
2026-03-08,Venda,Propriedade Plena (Freehold),DUBAI SPORTS CITY,Office,1026620.0,158.96,Office,Dubai Internet City,Marina Mall,Sports City Swimming Academy,STADIUM POINT,6458.35,Premium,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,1620000.0,221.5,3 Quarto(s),Rashidiya Metro Station,City Centre Mirdif,,,7313.77,Premium,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),PALM JUMEIRAH,Apartamento,4050000.0,124.32,1 Quarto(s),Palm Jumeirah,Marina Mall,Burj Al Arab,,32577.22,Spacious,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),INTERNATIONAL CITY PH 1,Apartamento,250000.0,44.0,Studio,Rashidiya Metro Station,City Centre Mirdif,,,5681.82,Compacto,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI SPORTS CITY,Apartamento,400000.0,41.89,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,HAMZA TOWER,9548.82,Compacto,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,840000.0,62.69,1 Quarto(s),Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,GHALIA,13399.27,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),AL FURJAN,Apartamento,730000.0,38.79,Studio,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,Prime Residency 3,18819.28,Compacto,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),BURJ KHALIFA,Apartamento,2750000.0,96.25,1 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,DT 1,28571.43,Spacious,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Office,1100000.0,57.6,Office,Business Bay Metro Station,Dubai Mall,Downtown Dubai,CHURCHILL TOWER,19097.22,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI CREEK HARBOUR,Apartamento,2995000.0,98.76,2 Quarto(s),Creek Metro Station,City Centre Mirdif,Dubai International Airport,Creek Beach - Rosewater,30326.04,Spacious,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),LIWAN,Apartamento,730000.0,62.08,1 Quarto(s),,,IMG World Adventures,Wavez Residence,11759.02,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,1050000.0,140.87,2 Quarto(s),Dubai Internet City,Marina Mall,Sports City Swimming Academy,SEASONS COMMUNITY- AUTUMN,7453.68,Premium,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Apartamento,1250000.0,39.9,Studio,Business Bay Metro Station,Dubai Mall,Downtown Dubai,Peninsula Three,31328.32,Compacto,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI SPORTS CITY,Apartamento,850000.0,76.37,1 Quarto(s),Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,GOLF VIEW RESIDENCE,11130.02,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),Jabal Ali First,Apartamento,1050000.0,70.38,2 Quarto(s),ENERGY Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,The Nook,14919.01,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH LAKES TOWERS,Office,4690000.0,130.08,Office,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,JUMEIRAH BUSINESS CENTRE1,36054.74,Premium,Ultra-Premium
2026-03-10,Venda,Propriedade Plena (Freehold),THE GREENS,Apartamento,910000.0,40.72,Studio,Dubai Internet City,Marina Mall,Burj Al Arab,,22347.74,Compacto,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH LAKES TOWERS,Apartamento,1320000.0,73.55,1 Quarto(s),Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,INDIGO TOWER,17946.97,Médio,Mercado Médio
2026-03-10,Venda,Propriedade Plena (Freehold),DUBAI WATER CANAL,Apartamento,5150000.0,181.55,2 Quarto(s),Business Bay Metro Station,Dubai Mall,Burj Khalifa,Canal Front Residences-CF5&CF6,28366.84,Premium,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI HILLS,Apartamento,2900000.0,149.72,3 Quarto(s),First Abu Dhabi Bank Metro Station,Mall of the Emirates,Burj Al Arab,PARK HEIGHTS II,19369.49,Premium,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),REMRAAM,Apartamento,760000.0,61.79,1 Quarto(s),,,Motor City,REMRAAM,12299.72,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),Um Suqaim Third,Apartamento,4350000.0,120.37,2 Quarto(s),,,,Al Jazi - Madinat Jumeriah Living,36138.57,Spacious,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI HILLS,Apartamento,2560000.0,93.25,2 Quarto(s),First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,Park Horizon,27453.08,Spacious,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),TOWN SQUARE,Apartamento,2400000.0,240.94,3 Quarto(s),,,Dubai Cycling Course,TOWN SQUARE ZAHRA,9960.99,Premium,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),AL FURJAN,Hotel Apartment,435400.0,36.4,Studio,ENERGY Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,Montrell Hotel Aprtments,11961.54,Compacto,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI SPORTS CITY,Apartamento,880000.0,107.93,2 Quarto(s),Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,HAMZA TOWER,8153.43,Spacious,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI MARINA,Apartamento,1850000.0,98.66,1 Quarto(s),Mina Seyahi,Marina Mall,Burj Al Arab,PRINCESS TOWER,18751.27,Spacious,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI LAND RESIDENCE COMPLEX,Apartamento,610000.0,78.29,1 Quarto(s),,,IMG World Adventures,SKY COURTS,7791.54,Médio,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),DAMAC HILLS,Apartamento,1075000.0,59.66,1 Quarto(s),,,Motor City,DAMAC HILLS - GOLF GATE,18018.77,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),Al Barsha First,Apartamento,1000000.0,78.85,1 Quarto(s),Sharaf Dg Metro Station,Mall of the Emirates,Burj Al Arab,,12682.31,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH LAKES TOWERS,Apartamento,1075000.0,78.3,1 Quarto(s),Damac Properties,Marina Mall,Burj Al Arab,V3,13729.25,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI PRODUCTION CITY,Apartamento,570000.0,63.71,1 Quarto(s),Damac Properties,Marina Mall,Sports City Swimming Academy,LAKESIDE,8946.79,Médio,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),TOWN SQUARE,Apartamento,1240000.0,87.44,2 Quarto(s),,,Dubai Cycling Course,TOWN SQUARE JENNA AND WARDA,14181.15,Médio,Mercado Médio
2026-03-11,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,1674534.0,218.3,2 Quarto(s),Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,VILLA MYRA,7670.79,Premium,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,1000000.0,62.07,1 Quarto(s),Dubai Internet City,Marina Mall,Sports City Swimming Academy,Binghatti Emerald,16110.84,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),THE GREENS,Apartamento,3740000.0,193.1,3 Quarto(s),Dubai Internet City,Marina Mall,Burj Al Arab,,19368.2,Premium,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI LAND RESIDENCE COMPLEX,Apartamento,710000.0,69.94,1 Quarto(s),,,IMG World Adventures,DURAR1,10151.56,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI WATER CANAL,Apartamento,4900000.0,124.51,2 Quarto(s),Business Bay Metro Station,Dubai Mall,Burj Khalifa,Canal Front Residences CF1 & CF2,39354.27,Spacious,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),AL FURJAN,Apartamento,2450000.0,213.14,3 Quarto(s),Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Sports City Swimming Academy,EQUITI RESIDENCE,11494.79,Premium,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,700000.0,36.63,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,EATON PLACE,19110.02,Compacto,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Apartamento,1500000.0,123.0,2 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,PARK CENTRAL,12195.12,Spacious,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,1132397.0,84.74,1 Quarto(s),Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Binghatti Phantom,13363.19,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DISCOVERY GARDENS,Apartamento,830000.0,89.0,1 Quarto(s),Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,,9325.84,Spacious,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Shop,2000000.0,77.7,Shop,Business Bay Metro Station,Dubai Mall,Downtown Dubai,CAPITAL BAY  A,25740.03,Médio,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,1100000.0,75.96,1 Quarto(s),Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,AVANOS,14481.31,Médio,Mercado Médio
2026-01-02,Venda,Propriedade Plena (Freehold),DUBAI SPORTS CITY,Apartamento,395000.0,37.3,Studio,Dubai Internet City,Marina Mall,Sports City Swimming Academy,Hera Tower,10589.81,Compacto,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH LAKES TOWERS,Apartamento,1930000.0,76.6,1 Quarto(s),Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,MBL Royal,25195.82,Médio,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),MBR DISTRICT 1,Apartamento,1550000.0,69.25,1 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 15",22382.67,Médio,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),Wadi Al Safa 7,Apartamento,850000.0,82.01,2 Quarto(s),,,,RUKAN,10364.59,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),ARJAN,Apartamento,475000.0,32.91,Studio,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,SAMANA HILLS,14433.3,Compacto,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI PRODUCTION CITY,Apartamento,460000.0,46.36,Studio,Damac Properties,Marina Mall,Sports City Swimming Academy,THE CRESCENT,9922.35,Médio,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),THE GREENS,Apartamento,2825000.0,121.52,2 Quarto(s),Nakheel Metro Station,Marina Mall,Burj Al Arab,TANARO,23247.2,Spacious,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),SILICON OASIS,Apartamento,1135000.0,81.68,1 Quarto(s),,,,Pearls by Vision,13895.69,Médio,Mercado Médio
2026-03-10,Venda,Propriedade Plena (Freehold),REMRAAM,Apartamento,1300000.0,139.19,2 Quarto(s),,,Motor City,REMRAAM,9339.75,Premium,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),Jumeirah First,Apartamento,4990000.0,118.34,2 Quarto(s),,,,PORT DE LA MER - LE SOLEIL,42166.64,Spacious,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),PALM JUMEIRAH,Apartamento,4650000.0,183.3,2 Quarto(s),Mina Seyahi,Marina Mall,Burj Al Arab,EMERALD PALACE KEMPINSKI,25368.25,Premium,Ultra-Premium
2026-03-16,Venda,Propriedade Plena (Freehold),MAJAN,Apartamento,687507.0,43.45,Studio,,,IMG World Adventures,,15822.95,Compacto,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI LAND RESIDENCE COMPLEX,Apartamento,600000.0,78.29,1 Quarto(s),,,IMG World Adventures,SKY COURTS,7663.81,Médio,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Apartamento,1177292.0,89.19,1 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,SAFEER TOWER 1,13199.82,Spacious,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI SOUTH,Apartamento,699999.0,61.55,1 Quarto(s),,,Expo 2020 Site,MAG 5 BOULEVARD,11372.85,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DOWN TOWN JABAL ALI,Apartamento,1070000.0,150.04,3 Quarto(s),UAE Exchange Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,SUBERBIA,7131.43,Premium,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),MAJAN,Apartamento,1400000.0,92.59,2 Quarto(s),,,IMG World Adventures,THE HAVEN,15120.42,Spacious,Mercado Médio
2026-01-09,Venda,Propriedade Plena (Freehold),DUBAI STUDIO CITY,Apartamento,67112.56,55.85,1 Quarto(s),Sharaf Dg Metro Station,,Motor City,LAYA HEIGHTS,1201.66,Médio,Entrada
2026-03-09,Venda,Propriedade Plena (Freehold),REMRAAM,Apartamento,500000.0,43.52,Studio,,,Motor City,REMRAAM,11488.97,Compacto,Entrada
2026-03-10,Venda,Propriedade Plena (Freehold),DUBAI MARINA,Apartamento,1525000.0,78.76,1 Quarto(s),Marina Towers,Marina Mall,Burj Al Arab,DAMAC HEIGHTS,19362.62,Médio,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Office,2100000.0,113.06,Office,Business Bay Metro Station,Dubai Mall,Downtown Dubai,IRIS BAY,18574.21,Spacious,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI LAND RESIDENCE COMPLEX,Apartamento,890000.0,72.05,1 Quarto(s),,,IMG World Adventures,,12352.53,Médio,Mercado Médio
2026-03-10,Venda,Propriedade Plena (Freehold),BUSINESS BAY,Apartamento,1525000.0,75.23,1 Quarto(s),Business Bay Metro Station,Dubai Mall,Downtown Dubai,AL HABTOOR CITY,20271.17,Médio,Alto Padrão
2026-03-09,Venda,Propriedade Plena (Freehold),Marsa Dubai,Apartamento,6100000.0,202.1,3 Quarto(s),Marina Towers,Marina Mall,Burj Al Arab,JUMEIRAH LIVING MARINA GATE,30183.08,Premium,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),JUMEIRAH VILLAGE CIRCLE,Apartamento,810000.0,38.6,Studio,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,BELGRAVIA HEIGHTS II,20984.46,Compacto,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),Marsa Dubai,Apartamento,4500000.0,141.12,2 Quarto(s),Marina Towers,Marina Mall,Burj Al Arab,JUMEIRAH LIVING MARINA GATE,31887.76,Premium,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),LA MER,Apartamento,2300000.0,76.1,1 Quarto(s),Trade Centre Metro Station,Dubai Mall,Burj Khalifa,Port De La Mer - La Sirene 2,30223.39,Médio,Alto Padrão
2026-01-09,Venda,Propriedade Plena (Freehold),DUBAI SPORTS CITY,Apartamento,675613.0,68.39,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,THE MATRIX,9878.83,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),LIWAN,Apartamento,870000.0,78.54,1 Quarto(s),,,IMG World Adventures,,11077.16,Médio,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),DUBAI SOUTH,Apartamento,750000.0,70.07,1 Quarto(s),,,Expo 2020 Site,,10703.58,Médio,Mercado Médio
2026-03-18,Venda,Propriedade Plena (Freehold),JUMEIRAH LIVING,Apartamento,12000000.0,364.67,4 Quarto(s),First Abu Dhabi Bank Metro Station,Mall of the Emirates,Burj Al Arab,Asayel at Madinat Jumeirah Living,32906.46,Premium,Ultra-Premium
2026-03-09,Venda,Propriedade Plena (Freehold),ARJAN,Apartamento,680000.0,34.19,Studio,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,Vincitore Benessere,19888.86,Compacto,Mercado Médio
2026-03-09,Venda,Propriedade Plena (Freehold),JADDAF WATERFRONT,Apartamento,2000000.0,96.4,1 Quarto(s),Al Jadaf Metro Station,City Centre Mirdif,Dubai International Airport,D1,20746.89,Spacious,Alto Padrão
