id_estudante,idade,genero,nivel_educacao,media_horas_sono,horas_tempo_tela,horas_redes_sociais,horas_estudo_por_dia,horas_exercicio_por_semana,bebidas_cafeina_por_dia,nivel_estresse,pontuacao_ansiedade,media_notas,usa_app_sono,sente_esgotado
38,26,masculino,pos_graduacao,6.8,4.6,0.3,3.5,4.4,3,7,6,3.06,nao,sim
39,19,feminino,ensino_medio,7.2,4.9,2.8,0.5,6.3,0,7,9,3.7,nao,sim
40,18,masculino,ensino_medio,7.5,5.0,3.4,1.5,5.2,2,8,6,3.66,nao,sim
41,21,masculino,ensino_medio,5.9,4.2,2.2,1.5,2.0,3,8,9,3.54,sim,sim
42,20,feminino,pos_graduacao,6.9,7.4,3.1,4.4,0.8,0,8,9,3.24,nao,sim
43,16,feminino,ensino_medio,7.4,6.6,5.5,4.4,1.1,2,9,8,3.04,nao,sim
44,21,feminino,ensino_medio,8.0,5.8,2.8,2.3,0.0,3,8,7,3.15,nao,sim
45,18,feminino,graduacao,6.0,6.8,5.0,3.9,0.7,1,9,9,2.99,nao,sim
46,21,feminino,pos_graduacao,7.3,4.4,1.8,1.4,8.1,1,6,6,3.08,nao,nao
47,23,masculino,pos_graduacao,7.8,4.4,2.3,2.7,9.5,0,5,6,3.83,sim,nao
48,18,feminino,graduacao,9.5,4.4,2.3,3.0,1.3,1,3,1,3.58,nao,nao
49,17,masculino,ensino_medio,8.0,7.9,5.2,3.3,2.9,6,8,7,3.31,sim,sim
50,21,feminino,graduacao,6.4,8.5,4.3,1.4,6.9,2,6,8,3.79,sim,nao
51,23,feminino,graduacao,8.2,5.9,3.3,3.8,2.0,1,5,6,3.84,nao,nao
52,22,masculino,graduacao,5.8,9.2,3.0,0.7,9.0,0,8,8,3.36,sim,sim
53,15,masculino,pos_graduacao,6.1,7.1,3.5,1.4,6.8,2,7,5,3.29,sim,sim
54,17,masculino,ensino_medio,7.1,5.6,0.4,2.1,3.9,1,7,9,3.61,sim,sim
55,20,feminino,graduacao,7.2,7.0,3.5,4.5,4.2,3,9,7,2.54,sim,sim
56,18,masculino,graduacao,6.8,8.8,4.5,3.8,6.7,1,10,8,2.96,nao,sim
57,22,masculino,graduacao,8.2,8.0,4.9,1.8,3.5,2,5,6,3.58,nao,nao
58,18,feminino,graduacao,6.7,4.9,2.7,3.5,0.0,1,8,6,2.44,nao,sim
59,23,feminino,graduacao,8.5,6.2,5.2,4.6,2.9,0,7,7,3.32,sim,sim
60,17,feminino,graduacao,9.0,5.7,4.4,6.0,7.0,4,6,4,3.46,sim,nao
61,19,feminino,ensino_medio,9.6,3.0,3.0,4.0,2.8,1,6,4,3.97,nao,nao
62,15,masculino,ensino_medio,9.4,4.2,3.6,4.0,5.0,0,6,5,3.39,nao,nao
63,14,masculino,ensino_medio,6.5,8.1,4.5,1.7,2.9,1,9,9,2.68,nao,sim
64,25,feminino,ensino_medio,8.1,6.6,2.9,3.6,6.5,4,10,10,3.05,sim,sim
65,22,feminino,graduacao,8.6,6.1,3.8,3.3,4.3,1,9,9,3.35,nao,sim
66,23,masculino,pos_graduacao,7.5,7.0,2.4,2.6,6.4,1,4,6,3.88,nao,nao
67,15,feminino,ensino_medio,7.1,6.9,5.7,1.1,3.4,6,7,5,3.05,nao,sim
68,21,masculino,graduacao,5.9,7.9,2.2,1.9,5.8,3,6,5,2.96,nao,nao
69,25,feminino,graduacao,8.6,8.6,5.0,2.1,2.1,1,9,7,3.35,nao,sim
70,20,masculino,graduacao,6.9,5.3,3.0,4.6,5.1,1,7,6,2.91,sim,sim
71,23,masculino,graduacao,8.2,7.4,4.7,2.6,5.6,1,7,6,2.72,sim,sim
72,24,nao_binario,graduacao,7.2,5.2,3.5,2.4,6.8,0,7,6,3.15,nao,sim
73,18,masculino,ensino_medio,9.1,3.3,2.3,0.9,3.0,2,7,9,3.78,nao,sim
74,22,feminino,graduacao,6.3,8.0,5.0,3.6,3.2,0,6,7,3.19,sim,nao
75,23,masculino,graduacao,7.8,5.3,3.5,4.5,0.0,0,5,5,3.61,sim,nao
76,19,masculino,graduacao,8.0,5.8,1.5,0.6,6.3,1,7,8,3.42,sim,sim
77,14,feminino,graduacao,8.3,5.0,3.3,2.6,0.0,4,7,6,3.6,nao,sim
78,21,feminino,graduacao,6.3,6.3,2.7,3.5,0.0,5,8,8,3.6,nao,sim
79,17,masculino,graduacao,7.3,4.1,1.7,5.5,3.6,2,5,6,3.29,nao,nao
80,19,masculino,ensino_medio,6.5,8.3,5.7,2.3,2.1,1,7,5,3.16,nao,sim
81,19,feminino,graduacao,7.4,8.2,3.5,4.8,6.0,2,8,10,3.09,sim,sim
82,18,masculino,pos_graduacao,8.0,7.4,5.0,2.1,5.9,1,6,4,2.92,sim,nao
83,22,masculino,ensino_medio,6.5,7.4,2.2,4.9,0.0,0,8,9,2.94,nao,sim
84,19,feminino,graduacao,7.0,7.0,3.1,2.2,5.8,1,6,6,3.29,sim,nao
85,22,masculino,ensino_medio,6.2,4.7,2.3,3.2,0.8,2,6,4,3.43,nao,nao
86,17,feminino,graduacao,7.3,5.6,3.6,4.1,4.3,0,7,9,3.63,nao,sim
87,22,masculino,pos_graduacao,7.5,8.9,5.1,0.0,8.4,0,7,5,3.52,nao,sim
88,17,masculino,graduacao,8.8,2.7,2.1,0.0,2.9,3,7,7,3.53,sim,sim
89,19,feminino,graduacao,6.7,6.2,6.1,4.4,5.2,4,6,6,2.79,nao,nao
90,19,masculino,graduacao,7.4,7.1,3.9,4.7,4.2,0,5,7,3.68,nao,nao
91,24,feminino,pos_graduacao,6.9,5.1,3.2,5.1,2.6,3,8,8,3.05,sim,sim
92,16,feminino,ensino_medio,6.6,7.2,5.1,4.3,3.1,3,8,7,3.09,nao,sim
93,18,masculino,graduacao,9.0,4.9,3.0,3.9,1.1,2,4,6,3.53,nao,nao
94,20,feminino,graduacao,7.7,5.4,1.6,2.9,2.7,2,8,10,3.15,nao,sim
95,19,feminino,graduacao,6.9,8.1,3.2,3.0,6.5,1,5,5,3.85,nao,nao
96,22,feminino,graduacao,7.8,6.4,4.2,3.6,4.9,0,7,8,3.6,nao,sim
97,16,feminino,pos_graduacao,7.9,6.2,3.9,0.4,4.6,0,5,4,2.53,nao,nao
98,23,feminino,graduacao,7.2,8.3,4.8,3.4,8.1,0,7,7,3.39,nao,sim
99,18,masculino,graduacao,8.2,6.0,4.2,3.4,6.9,2,5,7,3.28,sim,nao
100,19,feminino,ensino_medio,5.0,8.9,4.5,3.4,3.6,1,8,9,3.18,nao,sim
101,19,masculino,ensino_medio,7.0,8.6,3.1,0.4,0.1,2,7,6,2.52,nao,sim
102,26,masculino,pos_graduacao,8.3,6.0,4.1,3.7,2.1,5,7,8,3.2,nao,sim
103,19,feminino,pos_graduacao,8.0,5.5,2.4,1.9,0.0,0,10,8,3.14,sim,sim
104,20,masculino,graduacao,6.1,7.6,5.8,3.7,2.9,3,9,9,2.65,sim,sim
105,18,masculino,ensino_medio,6.9,8.9,6.4,5.5,7.5,0,8,7,3.34,sim,sim
106,24,masculino,graduacao,7.9,5.9,3.3,3.3,0.4,2,8,9,2.89,nao,sim
107,21,feminino,graduacao,6.2,10.2,6.8,2.3,4.9,1,10,9,3.12,sim,sim
108,17,feminino,ensino_medio,7.9,7.4,4.0,1.1,1.5,0,8,10,3.51,nao,sim
109,19,masculino,graduacao,6.8,6.3,2.6,3.7,2.9,2,8,10,2.88,nao,sim
110,21,masculino,ensino_medio,8.0,3.8,2.3,3.4,5.6,2,3,3,3.72,nao,nao
111,18,masculino,ensino_medio,8.9,4.5,2.5,2.7,0.0,0,7,9,3.8,nao,sim
112,21,feminino,graduacao,7.0,6.6,4.1,2.6,5.2,0,6,5,3.28,nao,nao
113,15,feminino,graduacao,6.3,9.1,4.7,3.0,3.4,1,9,8,3.15,nao,sim
114,27,feminino,graduacao,7.1,4.6,2.0,2.4,2.8,2,7,6,3.23,nao,sim
115,23,feminino,graduacao,6.7,7.4,2.8,2.0,2.5,3,9,7,3.15,nao,sim
116,21,feminino,graduacao,7.8,4.0,3.2,2.3,4.1,1,5,5,3.52,sim,nao
117,21,feminino,ensino_medio,6.5,9.4,3.5,4.3,5.7,6,9,7,2.48,nao,sim
118,17,masculino,graduacao,8.7,3.1,1.0,1.4,3.0,2,7,6,3.52,sim,sim
119,19,masculino,pos_graduacao,9.1,4.0,0.8,3.9,4.6,3,6,4,3.72,nao,nao
120,21,feminino,ensino_medio,7.2,7.4,4.9,3.5,7.1,3,7,7,3.43,nao,sim
121,18,feminino,graduacao,7.9,6.6,4.2,2.9,3.2,1,8,10,3.11,nao,sim
122,20,masculino,ensino_medio,6.7,8.1,5.3,3.0,0.1,0,9,7,2.7,sim,sim
123,14,feminino,ensino_medio,8.0,4.3,3.4,3.2,5.4,0,7,7,3.56,sim,sim
124,24,feminino,graduacao,7.2,5.8,1.7,2.2,8.1,2,7,6,3.4,nao,sim
125,21,feminino,ensino_medio,6.6,8.5,4.0,1.4,4.3,2,8,8,2.92,nao,sim
126,18,feminino,graduacao,7.3,6.8,3.7,4.2,2.6,1,10,10,3.48,nao,sim
127,22,masculino,ensino_medio,7.9,4.2,1.3,1.7,2.5,3,7,5,3.49,nao,sim
128,21,feminino,graduacao,7.1,6.6,3.4,4.0,2.0,1,7,7,3.13,sim,sim
129,21,feminino,pos_graduacao,6.2,6.9,4.6,4.1,2.3,0,10,10,2.66,nao,sim
130,16,masculino,graduacao,7.7,6.4,3.4,1.6,2.0,0,9,7,3.09,nao,sim
131,18,feminino,graduacao,6.1,10.4,6.3,4.4,6.1,2,6,4,2.75,sim,nao
132,19,masculino,ensino_medio,6.9,7.4,4.5,0.3,4.6,2,8,6,3.1,nao,sim
133,20,feminino,pos_graduacao,6.8,8.9,5.7,4.7,0.0,1,8,6,2.78,nao,sim
134,21,masculino,graduacao,7.2,9.3,5.8,2.5,4.6,0,10,10,2.82,nao,sim
135,15,masculino,pos_graduacao,7.2,4.4,3.0,4.3,0.3,2,9,8,3.18,nao,sim
136,24,feminino,graduacao,7.6,5.2,3.8,3.7,4.0,0,5,3,3.85,nao,nao
137,18,masculino,graduacao,4.7,8.1,5.7,4.0,4.5,0,9,10,3.16,sim,sim
138,16,feminino,graduacao,7.6,7.0,3.8,1.5,5.7,0,6,7,3.14,sim,nao
139,21,feminino,graduacao,8.1,8.2,4.2,6.6,5.4,2,4,5,3.68,nao,nao
140,22,masculino,graduacao,8.5,5.2,4.2,4.4,5.0,0,4,6,3.74,sim,nao
141,17,masculino,graduacao,6.7,6.1,2.9,4.7,6.0,2,7,7,3.31,nao,sim
142,17,masculino,graduacao,7.2,5.9,3.9,4.6,4.8,2,6,4,3.37,nao,nao
143,20,feminino,graduacao,7.6,6.2,2.2,3.7,3.6,2,7,8,3.99,nao,sim
144,23,nao_binario,ensino_medio,5.6,5.3,2.3,3.6,1.8,3,8,7,2.96,nao,sim
145,22,masculino,graduacao,7.0,6.4,4.8,4.4,2.3,1,8,9,2.77,sim,sim
146,19,feminino,graduacao,6.1,10.8,6.6,2.9,2.1,3,10,10,2.79,nao,sim
147,20,feminino,pos_graduacao,5.4,11.7,7.7,2.1,3.1,3,10,9,2.38,nao,sim
148,15,masculino,graduacao,7.6,9.1,4.2,4.6,6.5,3,9,7,2.93,nao,sim
149,19,nao_binario,pos_graduacao,7.0,5.0,3.1,2.7,5.0,2,8,9,3.45,nao,sim
150,22,masculino,ensino_medio,7.5,4.0,2.9,2.6,1.6,1,6,5,3.51,nao,nao
151,14,masculino,ensino_medio,7.4,11.5,5.0,0.0,4.3,2,10,8,2.75,nao,sim
152,22,feminino,graduacao,9.5,3.5,1.0,4.1,5.3,3,4,6,4.0,sim,nao
153,16,masculino,ensino_medio,8.9,6.2,3.1,3.1,3.0,3,5,6,3.31,sim,nao
154,16,masculino,graduacao,6.1,9.1,4.4,3.9,4.6,3,10,10,3.37,sim,sim
155,21,feminino,pos_graduacao,7.5,5.6,4.2,3.3,1.2,1,6,8,3.48,sim,nao
156,18,feminino,ensino_medio,5.8,7.2,3.0,4.5,3.1,2,8,9,2.97,sim,sim
157,23,feminino,pos_graduacao,7.1,5.6,3.2,3.6,3.1,4,7,8,3.42,sim,sim
158,14,feminino,graduacao,8.2,5.0,4.5,4.4,1.7,5,7,5,2.93,nao,sim
159,20,feminino,graduacao,6.4,8.8,4.2,4.2,6.3,0,8,7,3.24,nao,sim
160,26,feminino,ensino_medio,9.3,3.2,2.9,3.6,5.5,3,5,6,4.0,nao,nao
161,23,masculino,graduacao,7.7,5.4,2.3,2.6,4.4,0,4,2,3.51,nao,nao
162,17,feminino,graduacao,7.6,5.7,3.1,4.9,0.9,4,7,8,3.14,nao,sim
163,16,feminino,graduacao,6.0,9.0,2.7,2.2,7.0,2,9,9,3.12,sim,sim
164,20,feminino,graduacao,8.2,5.6,3.8,2.5,3.8,3,7,7,3.24,sim,sim
165,17,masculino,graduacao,7.1,4.9,3.9,2.4,3.5,1,5,3,3.25,nao,nao
166,17,masculino,graduacao,7.6,6.9,4.6,5.1,7.9,3,6,7,2.98,sim,nao
167,17,feminino,graduacao,8.0,4.3,2.6,1.7,4.8,2,6,4,3.5,sim,nao
168,19,masculino,ensino_medio,6.8,9.7,5.1,3.1,2.6,3,6,7,2.85,sim,nao
169,22,masculino,pos_graduacao,8.8,5.5,3.2,2.7,2.2,1,7,5,3.01,nao,sim
170,21,masculino,graduacao,8.4,6.5,4.7,2.0,1.7,3,7,8,3.44,nao,sim
171,16,masculino,graduacao,7.2,7.2,0.9,1.8,4.3,2,7,7,3.12,nao,sim
172,22,feminino,ensino_medio,7.6,6.8,2.9,4.5,8.5,5,7,5,3.26,nao,sim
173,14,nao_binario,ensino_medio,8.7,5.5,3.6,4.2,3.4,3,4,2,3.83,sim,nao
174,19,masculino,graduacao,7.4,3.5,1.6,3.0,1.1,0,8,8,3.5,nao,sim
175,23,feminino,graduacao,7.6,7.4,4.1,2.9,1.7,2,8,7,2.91,nao,sim
176,17,feminino,pos_graduacao,8.3,6.1,4.5,2.5,2.2,1,5,3,3.19,nao,nao
177,16,masculino,graduacao,8.1,6.3,3.8,1.3,5.4,2,6,6,3.86,nao,nao
178,20,masculino,graduacao,8.2,6.7,3.5,3.9,4.8,1,7,8,3.81,sim,sim
179,19,feminino,pos_graduacao,7.1,8.9,5.7,2.1,3.7,2,7,5,2.97,sim,sim
180,24,masculino,graduacao,8.5,1.0,1.1,0.2,5.9,0,4,3,3.84,nao,nao
181,17,feminino,graduacao,6.8,4.7,2.1,1.7,6.1,1,6,5,3.73,nao,nao
182,17,feminino,graduacao,8.2,8.0,4.9,4.1,2.8,0,5,5,3.69,nao,nao
183,19,feminino,graduacao,7.8,7.7,4.2,3.8,2.6,2,7,7,2.98,sim,sim
184,18,masculino,graduacao,8.0,5.6,2.4,3.0,5.9,1,7,9,3.13,nao,sim
185,23,feminino,ensino_medio,7.2,5.9,1.3,4.5,6.1,2,7,5,3.15,nao,sim
186,22,masculino,ensino_medio,9.0,3.2,1.4,1.9,2.9,3,4,3,3.9,sim,nao
187,22,masculino,ensino_medio,7.0,7.0,4.6,3.7,0.0,3,7,7,3.21,sim,sim
188,20,feminino,graduacao,5.9,10.7,7.4,4.3,5.9,0,10,10,3.59,nao,sim
189,20,masculino,graduacao,7.7,6.6,3.4,1.5,3.0,1,7,6,3.6,nao,sim
190,16,masculino,ensino_medio,8.8,8.4,2.2,2.0,0.6,2,7,9,3.97,nao,sim
191,18,masculino,ensino_medio,5.5,7.7,4.9,6.1,5.8,4,6,8,3.48,nao,nao
192,18,masculino,ensino_medio,7.6,5.5,3.1,2.2,6.3,2,7,6,3.58,sim,sim
193,19,feminino,pos_graduacao,7.6,5.1,5.0,3.0,5.2,1,7,9,3.04,nao,sim
194,16,feminino,graduacao,6.6,7.9,4.6,2.9,5.4,1,7,8,3.49,sim,sim
195,22,feminino,ensino_medio,8.6,4.9,3.0,3.3,6.1,2,7,8,3.72,nao,sim
196,23,prefere_nao_dizer,pos_graduacao,7.9,8.9,5.4,2.5,2.4,3,8,6,2.75,nao,sim
197,22,masculino,ensino_medio,7.8,7.5,1.9,2.3,6.3,0,6,5,2.78,nao,nao
198,24,feminino,ensino_medio,6.8,6.6,4.6,6.8,2.7,2,8,7,3.15,nao,sim
199,21,masculino,pos_graduacao,8.2,5.3,3.1,2.4,0.9,2,6,7,3.42,sim,nao
200,18,feminino,graduacao,7.8,6.8,3.4,3.6,4.7,1,9,8,3.66,nao,sim
201,21,masculino,graduacao,7.0,7.1,5.8,2.5,1.7,1,9,10,2.3,sim,sim
202,26,masculino,graduacao,7.9,4.6,2.6,3.3,3.3,2,8,8,3.11,sim,sim
203,18,masculino,graduacao,8.4,6.9,3.9,5.0,0.8,3,7,7,3.11,nao,sim
204,23,feminino,graduacao,5.1,9.2,5.3,2.7,2.0,1,8,8,2.27,nao,sim
205,23,masculino,pos_graduacao,9.0,5.9,2.9,1.9,4.9,0,6,5,3.63,nao,nao
206,20,masculino,graduacao,7.1,6.0,4.5,3.3,5.4,2,10,10,2.67,sim,sim
207,18,feminino,ensino_medio,7.8,4.8,3.0,6.9,3.7,4,7,6,2.85,nao,sim
208,18,masculino,graduacao,6.9,8.1,4.1,0.0,1.7,0,9,10,3.26,nao,sim
209,25,feminino,pos_graduacao,7.5,4.5,4.1,5.5,5.5,3,6,8,3.71,nao,nao
210,17,masculino,graduacao,8.0,2.3,0.8,1.5,7.1,2,5,4,3.43,nao,nao
211,20,feminino,pos_graduacao,7.7,5.7,0.5,2.0,1.1,4,6,8,3.07,sim,nao
212,16,masculino,graduacao,6.4,5.3,4.5,3.3,2.8,5,6,6,3.26,nao,nao
213,16,feminino,ensino_medio,6.6,8.4,3.6,3.4,2.7,3,8,7,3.41,sim,sim
214,23,feminino,pos_graduacao,7.5,8.1,2.9,5.2,0.9,1,6,5,3.45,nao,nao
215,22,masculino,graduacao,7.7,5.3,4.2,0.9,1.6,3,8,10,2.59,sim,sim
216,18,masculino,ensino_medio,7.7,4.3,1.3,4.7,3.5,2,6,4,2.93,nao,nao
217,21,masculino,graduacao,8.4,3.6,2.8,3.6,4.3,1,6,7,2.99,sim,nao
218,18,feminino,pos_graduacao,8.5,6.4,4.1,4.0,7.8,3,5,6,3.39,nao,nao
219,19,masculino,graduacao,8.5,5.6,3.7,3.1,1.4,1,7,5,3.11,nao,sim
220,16,feminino,graduacao,5.7,8.2,4.8,0.1,0.4,0,7,6,3.12,sim,sim
221,17,feminino,graduacao,7.8,7.5,4.1,4.6,0.0,1,9,10,3.27,sim,sim
222,24,feminino,graduacao,7.7,5.9,1.6,1.2,4.6,1,5,7,3.43,nao,nao
223,19,masculino,ensino_medio,6.6,6.8,2.8,2.4,5.5,4,7,7,3.02,nao,sim
224,18,feminino,graduacao,6.0,11.0,7.2,4.7,2.4,0,10,10,2.82,sim,sim
225,18,masculino,ensino_medio,7.7,5.0,4.7,1.3,3.5,5,9,9,2.97,nao,sim
226,18,feminino,graduacao,7.2,5.0,0.5,2.4,1.2,2,7,8,2.88,nao,sim
227,18,feminino,graduacao,9.0,3.6,2.5,5.3,2.9,2,5,3,3.76,nao,nao
228,20,feminino,graduacao,8.9,5.7,4.4,3.1,4.3,2,6,5,2.86,sim,nao
229,21,masculino,graduacao,6.8,6.7,3.5,3.4,9.4,1,7,9,3.21,sim,sim
230,21,feminino,graduacao,6.4,7.4,1.9,2.6,0.7,3,6,4,3.17,sim,nao
231,22,feminino,ensino_medio,7.8,5.2,4.6,2.5,0.5,4,6,8,3.45,nao,nao
232,22,feminino,graduacao,8.1,7.0,3.5,4.4,0.6,3,7,9,3.3,nao,sim
233,18,masculino,graduacao,7.2,1.3,0.0,2.2,2.8,3,7,8,3.52,nao,sim
234,18,masculino,graduacao,8.3,3.5,1.0,3.3,7.2,1,5,3,3.39,sim,nao
235,20,masculino,ensino_medio,7.7,7.5,5.3,5.4,2.9,1,7,6,3.44,sim,sim
236,21,feminino,ensino_medio,6.7,7.7,4.1,2.6,4.2,1,9,7,2.9,nao,sim
237,15,masculino,ensino_medio,6.8,10.0,2.9,1.5,0.0,3,10,10,3.05,nao,sim
238,19,masculino,pos_graduacao,7.7,5.2,4.8,4.8,0.3,1,6,5,3.56,nao,nao
239,14,masculino,ensino_medio,8.1,6.1,3.8,4.8,2.8,3,8,9,3.14,nao,sim
240,21,masculino,graduacao,8.6,5.8,2.5,1.4,9.7,1,6,4,3.63,nao,nao
241,21,masculino,ensino_medio,7.3,7.7,5.5,4.6,0.0,2,7,5,3.27,nao,sim
242,17,masculino,graduacao,8.5,4.8,1.9,4.5,6.5,2,6,6,3.77,nao,nao
243,20,masculino,ensino_medio,5.7,7.1,3.7,0.0,2.7,3,8,6,3.37,nao,sim
244,18,masculino,graduacao,6.0,8.5,4.9,3.4,0.0,1,10,10,2.67,nao,sim
245,20,nao_binario,ensino_medio,6.7,8.6,5.1,3.7,0.2,2,8,10,2.83,sim,sim
246,19,feminino,graduacao,5.4,10.3,6.3,3.7,7.5,0,8,7,2.9,sim,sim
247,24,masculino,pos_graduacao,7.9,3.5,0.6,5.7,2.5,0,6,7,3.9,nao,nao
248,20,feminino,ensino_medio,7.4,7.4,1.8,4.6,3.4,2,10,10,3.17,nao,sim
249,21,feminino,graduacao,7.9,4.5,3.5,4.0,6.6,0,5,3,3.19,nao,nao
250,19,feminino,pos_graduacao,8.8,2.9,0.5,3.0,3.8,2,6,6,3.44,nao,nao
251,19,masculino,ensino_medio,9.3,2.8,1.7,6.5,5.7,1,4,5,3.2,sim,nao
252,22,feminino,graduacao,7.4,7.9,5.2,3.8,3.3,0,9,10,3.23,nao,sim
253,18,nao_binario,ensino_medio,7.8,5.2,3.9,3.6,1.9,3,8,10,2.88,nao,sim
254,21,feminino,graduacao,7.5,4.6,1.5,1.2,2.0,1,7,6,3.75,nao,sim
255,20,masculino,graduacao,7.9,8.7,3.9,2.7,6.6,3,5,6,3.05,nao,nao
256,21,feminino,graduacao,7.7,5.7,2.2,2.8,4.5,1,6,6,3.7,nao,nao
257,18,feminino,graduacao,5.8,6.9,3.0,4.9,3.7,0,9,10,2.43,sim,sim
258,20,masculino,graduacao,9.1,2.9,1.8,3.3,0.0,2,7,8,3.44,sim,sim
259,17,masculino,graduacao,7.7,7.1,2.3,2.4,5.5,3,8,6,3.84,nao,sim
260,22,masculino,pos_graduacao,7.4,6.8,2.4,3.7,9.0,3,5,4,3.15,nao,nao
261,18,masculino,pos_graduacao,7.3,7.9,4.2,5.2,4.8,3,8,7,2.84,nao,sim
262,16,masculino,graduacao,7.0,5.4,3.6,5.4,2.6,2,7,8,3.46,nao,sim
263,17,feminino,graduacao,6.8,7.4,3.2,3.7,5.1,2,8,8,3.06,sim,sim
264,18,masculino,graduacao,7.5,4.5,2.2,2.3,6.6,0,6,5,3.64,sim,nao
265,22,feminino,graduacao,8.5,6.8,1.8,2.2,0.0,2,8,8,3.75,nao,sim
266,22,masculino,pos_graduacao,5.9,10.3,6.5,3.0,0.8,2,9,10,2.83,nao,sim
267,19,feminino,graduacao,7.2,4.4,2.9,2.8,2.1,1,10,9,3.08,sim,sim
268,14,feminino,graduacao,8.0,5.5,3.7,2.7,4.4,1,8,8,2.95,sim,sim
269,18,feminino,ensino_medio,6.0,7.1,3.6,4.3,1.2,2,10,9,2.87,nao,sim
270,19,masculino,ensino_medio,7.3,5.6,2.7,4.2,3.8,1,7,5,3.26,sim,sim
271,14,masculino,graduacao,7.8,6.8,3.6,3.2,0.0,3,8,9,3.21,nao,sim
272,16,prefere_nao_dizer,graduacao,7.6,5.1,2.2,2.0,3.5,5,5,5,3.36,nao,nao
273,20,masculino,graduacao,6.9,6.4,4.0,4.8,5.7,1,6,5,3.47,nao,nao
