Data_Transacao,Marca,Categoria,Unidades_Vendidas,Receita_Bruta,Descontos,Receita_Liquida,Gasto_Marketing,Desconto_Promocao_Pct,Aumento_Vendas_Pct
2021-04-23,Schweppes,Refrigerante,192,119.04,11.9,107.14,0.0,10.0,0.57
2021-10-03,Coca-Cola Zero,Refrigerante,360,225.43,0.0,225.43,2358.51,0.0,12.51
2020-01-05,Coca-Cola Diet,Refrigerante,268,166.16,0.0,166.16,942.25,0.0,4.92
2024-05-04,Fanta,Refrigerante,360,220.97,0.0,220.97,2537.64,0.0,15.4
2019-02-06,Coca-Cola Classica,Refrigerante,184,116.36,5.82,110.54,0.0,5.0,0.0
2025-06-28,Sprite,Refrigerante,274,166.48,16.65,149.83,1042.0,10.0,6.53
2020-12-22,Monster,Energetico,545,752.21,75.22,676.99,4163.91,10.0,22.61
2019-03-25,Dasani,Agua,472,160.48,0.0,160.48,4806.61,0.0,25.92
2019-09-29,Powerade,Bebida Esportiva,562,488.15,0.0,488.15,4916.28,0.0,24.93
2022-01-08,Powerade,Bebida Esportiva,201,174.59,8.73,165.86,0.0,5.0,0.0
2019-07-10,Coca-Cola Diet,Refrigerante,170,105.4,0.0,105.4,0.0,0.0,0.0
2021-09-17,Schweppes,Refrigerante,472,292.64,29.26,263.38,4296.86,10.0,23.72
2021-06-05,Monster,Energetico,252,347.81,17.39,330.42,0.0,5.0,0.0
2022-08-18,Fanta,Refrigerante,501,307.51,0.0,307.51,4432.15,0.0,24.33
2020-12-01,Coca-Cola Diet,Refrigerante,388,240.56,24.06,216.5,2763.71,10.0,15.28
2024-02-19,Sprite,Refrigerante,428,260.05,0.0,260.05,3146.68,0.0,14.07
2018-09-11,Schweppes,Refrigerante,336,208.32,0.0,208.32,1925.55,0.0,9.22
2018-08-07,Dasani,Agua,177,60.18,3.01,57.17,801.45,5.0,5.02
2018-03-03,Coca-Cola Diet,Refrigerante,178,110.36,5.52,104.84,0.0,5.0,0.58
2019-08-04,Minute Maid,Suco,129,92.88,4.64,88.24,0.0,5.0,0.0
2023-08-25,Coca-Cola Zero,Refrigerante,178,111.46,5.57,105.89,0.0,5.0,0.24
2021-04-06,Fanta,Refrigerante,138,84.7,8.47,76.23,0.0,10.0,1.53
2023-02-05,Dasani,Agua,96,32.64,3.26,29.38,422.43,10.0,3.49
2021-01-31,Coca-Cola Diet,Refrigerante,147,91.14,4.56,86.58,0.0,5.0,0.0
2025-03-24,Fanta,Refrigerante,441,270.69,0.0,270.69,3808.39,0.0,20.24
2025-04-28,Coca-Cola Classica,Refrigerante,547,345.92,17.3,328.62,4762.17,5.0,25.25
2022-06-18,Coca-Cola Zero,Refrigerante,382,239.21,23.92,215.29,2989.49,10.0,17.14
2020-03-11,Coca-Cola Zero,Refrigerante,257,160.93,0.0,160.93,1156.85,0.0,6.66
2018-04-09,Coca-Cola Zero,Refrigerante,319,199.76,9.99,189.77,1425.99,5.0,8.79
2020-11-14,Fanta,Refrigerante,171,104.96,0.0,104.96,0.0,0.0,0.2
2022-11-12,Schweppes,Refrigerante,461,285.82,0.0,285.82,3501.85,0.0,20.49
2023-04-19,Fanta,Refrigerante,157,96.37,4.82,91.55,0.0,5.0,0.14
2019-06-03,Sprite,Refrigerante,381,231.5,0.0,231.5,2753.57,0.0,16.32
2023-04-21,Sprite,Refrigerante,525,318.99,15.95,303.04,4921.86,5.0,28.38
2021-01-15,Coca-Cola Zero,Refrigerante,395,247.35,24.74,222.61,2983.13,10.0,15.2
2024-01-13,Coca-Cola Diet,Refrigerante,201,124.62,12.46,112.16,0.0,10.0,0.0
2018-11-24,Coca-Cola Diet,Refrigerante,355,220.1,0.0,220.1,2914.11,0.0,18.34
2024-06-28,Coca-Cola Diet,Refrigerante,296,183.52,0.0,183.52,1407.3,0.0,8.13
2021-08-26,Coca-Cola Classica,Refrigerante,186,117.63,5.88,111.75,0.0,5.0,0.0
2020-10-09,Monster,Energetico,382,527.24,52.72,474.52,2096.02,10.0,10.46
2021-08-09,Coca-Cola Classica,Refrigerante,144,91.07,4.55,86.52,0.0,5.0,1.16
2025-08-25,Coca-Cola Classica,Refrigerante,182,115.1,11.51,103.59,0.0,10.0,0.0
2019-11-14,Dasani,Agua,188,63.92,0.0,63.92,1346.16,0.0,6.64
2019-06-26,Coca-Cola Diet,Refrigerante,186,115.32,11.53,103.79,0.0,10.0,2.1
2025-12-12,Coca-Cola Classica,Refrigerante,498,314.94,0.0,314.94,4234.76,0.0,21.72
2018-02-22,Minute Maid,Suco,247,177.84,0.0,177.84,889.15,0.0,3.69
2022-02-13,Monster,Energetico,339,467.89,23.39,444.5,1395.76,5.0,7.99
2024-04-01,Schweppes,Refrigerante,519,321.78,0.0,321.78,4859.82,0.0,27.31
2021-07-20,Powerade,Bebida Esportiva,501,435.17,0.0,435.17,3823.94,0.0,21.78
2024-10-26,Coca-Cola Diet,Refrigerante,488,302.56,0.0,302.56,4035.01,0.0,23.56
2021-09-14,Minute Maid,Suco,350,252.0,0.0,252.0,2353.18,0.0,13.24
2020-03-18,Dasani,Agua,282,95.88,4.79,91.09,2142.47,5.0,12.52
2025-12-13,Coca-Cola Classica,Refrigerante,243,153.67,0.0,153.67,717.89,0.0,3.56
2021-09-09,Coca-Cola Zero,Refrigerante,478,299.32,14.97,284.35,3484.48,5.0,19.26
2023-05-31,Minute Maid,Suco,152,109.44,10.94,98.5,557.62,10.0,3.23
2021-03-31,Schweppes,Refrigerante,342,212.04,0.0,212.04,2377.07,0.0,13.4
2024-09-02,Powerade,Bebida Esportiva,515,447.33,0.0,447.33,4368.95,0.0,25.19
2021-02-15,Fanta,Refrigerante,170,104.35,10.44,93.91,0.0,10.0,0.83
2020-01-18,Minute Maid,Suco,311,223.92,22.39,201.53,2734.24,10.0,15.1
2023-04-28,Fanta,Refrigerante,196,120.3,6.02,114.28,0.0,5.0,0.0
2019-02-26,Schweppes,Refrigerante,174,107.88,10.79,97.09,0.0,10.0,0.1
2019-06-07,Dasani,Agua,121,41.14,0.0,41.14,769.1,0.0,4.19
2024-06-12,Schweppes,Refrigerante,451,279.62,0.0,279.62,3946.96,0.0,22.0
2022-11-29,Schweppes,Refrigerante,188,116.56,5.83,110.73,0.0,5.0,3.31
2025-06-14,Sprite,Refrigerante,557,338.43,0.0,338.43,4750.04,0.0,25.34
2020-09-07,Dasani,Agua,194,65.96,3.3,62.66,591.35,5.0,3.89
2024-08-23,Coca-Cola Classica,Refrigerante,385,243.47,12.17,231.3,1765.98,5.0,11.32
2024-03-24,Coca-Cola Diet,Refrigerante,457,283.34,14.17,269.17,3556.57,5.0,19.71
2020-11-29,Minute Maid,Suco,387,278.64,13.93,264.71,3620.84,5.0,23.42
2020-09-05,Monster,Energetico,289,398.88,0.0,398.88,1369.35,0.0,6.96
2020-11-23,Sprite,Refrigerante,187,113.62,0.0,113.62,0.0,0.0,0.49
2022-04-10,Schweppes,Refrigerante,160,99.2,0.0,99.2,0.0,0.0,0.0
2020-07-20,Fanta,Refrigerante,170,104.35,5.22,99.13,0.0,5.0,0.0
2024-10-14,Coca-Cola Diet,Refrigerante,526,326.12,0.0,326.12,4813.69,0.0,26.85
2018-01-07,Coca-Cola Diet,Refrigerante,276,171.12,0.0,171.12,1328.51,0.0,8.58
2020-08-31,Sprite,Refrigerante,365,221.77,0.0,221.77,2106.67,0.0,12.07
2022-07-23,Powerade,Bebida Esportiva,300,260.58,0.0,260.58,1149.16,0.0,8.21
2022-03-09,Dasani,Agua,149,50.66,5.07,45.59,708.29,10.0,3.75
2024-10-14,Dasani,Agua,322,109.48,0.0,109.48,3308.05,0.0,17.7
2022-12-31,Coca-Cola Zero,Refrigerante,335,209.78,20.98,188.8,2621.83,10.0,18.48
2022-07-06,Monster,Energetico,311,429.24,0.0,429.24,1114.93,0.0,6.72
2018-05-15,Fanta,Refrigerante,475,291.56,14.58,276.98,3954.87,5.0,20.67
2018-09-15,Dasani,Agua,199,67.66,0.0,67.66,731.87,0.0,2.98
2020-11-24,Coca-Cola Classica,Refrigerante,447,282.68,0.0,282.68,3513.88,0.0,17.91
2018-02-13,Coca-Cola Diet,Refrigerante,322,199.64,19.96,179.68,1564.71,10.0,10.01
2022-08-05,Coca-Cola Diet,Refrigerante,385,238.7,23.87,214.83,2897.62,10.0,15.39
2025-10-11,Coca-Cola Classica,Refrigerante,150,94.86,9.49,85.37,0.0,10.0,0.19
2021-08-11,Monster,Energetico,549,757.73,0.0,757.73,4441.45,0.0,24.33
2022-11-26,Coca-Cola Zero,Refrigerante,243,152.17,0.0,152.17,1084.53,0.0,7.06
2023-12-01,Minute Maid,Suco,383,275.76,13.79,261.97,2529.09,5.0,12.64
2019-09-30,Fanta,Refrigerante,192,117.85,0.0,117.85,434.87,0.0,0.78
2020-03-08,Fanta,Refrigerante,475,291.56,14.58,276.98,3656.85,5.0,20.45
2022-07-29,Coca-Cola Zero,Refrigerante,432,270.52,13.53,256.99,3663.39,5.0,21.05
2019-10-06,Coca-Cola Diet,Refrigerante,327,202.74,10.14,192.6,1650.59,5.0,9.58
2023-03-17,Coca-Cola Zero,Refrigerante,549,343.78,34.38,309.4,4788.2,10.0,25.12
2024-03-26,Coca-Cola Classica,Refrigerante,209,132.17,6.61,125.56,438.26,5.0,3.43
2019-09-29,Fanta,Refrigerante,368,225.88,0.0,225.88,2517.52,0.0,12.73
2020-03-20,Fanta,Refrigerante,491,301.38,0.0,301.38,4370.9,0.0,23.26
2023-02-04,Sprite,Refrigerante,339,205.98,10.3,195.68,1969.6,5.0,9.42
2023-08-04,Dasani,Agua,308,104.72,5.24,99.48,2924.1,5.0,18.03
2024-01-15,Coca-Cola Diet,Refrigerante,320,198.4,0.0,198.4,2277.04,0.0,13.47
2018-04-04,Sprite,Refrigerante,148,89.92,0.0,89.92,0.0,0.0,0.91
2021-11-16,Schweppes,Refrigerante,184,114.08,5.7,108.38,0.0,5.0,1.87
2018-09-19,Fanta,Refrigerante,353,216.67,21.67,195.0,1774.3,10.0,13.98
2018-10-26,Sprite,Refrigerante,318,193.22,9.66,183.56,1786.05,5.0,7.26
2021-11-11,Coca-Cola Diet,Refrigerante,177,109.74,0.0,109.74,0.0,0.0,0.0
2020-09-01,Powerade,Bebida Esportiva,514,446.46,0.0,446.46,3959.73,0.0,20.85
2018-04-24,Powerade,Bebida Esportiva,276,239.73,11.99,227.74,450.2,5.0,1.2
2024-12-08,Monster,Energetico,245,338.15,0.0,338.15,0.0,0.0,0.0
2018-08-18,Schweppes,Refrigerante,415,257.3,12.86,244.44,3271.56,5.0,17.54
2018-04-11,Sprite,Refrigerante,208,126.38,6.32,120.06,0.0,5.0,0.0
2021-06-18,Powerade,Bebida Esportiva,259,224.97,0.0,224.97,509.04,0.0,3.3
2020-01-10,Minute Maid,Suco,305,219.6,0.0,219.6,1681.96,0.0,9.33
2024-08-22,Sprite,Refrigerante,443,269.17,0.0,269.17,3449.64,0.0,19.69
2024-12-11,Fanta,Refrigerante,478,293.4,29.34,264.06,4383.25,10.0,24.87
2019-05-14,Powerade,Bebida Esportiva,471,409.11,20.46,388.65,3936.17,5.0,22.55
2023-07-06,Coca-Cola Diet,Refrigerante,221,137.02,0.0,137.02,0.0,0.0,0.0
2021-12-22,Dasani,Agua,154,52.36,5.24,47.12,149.05,10.0,4.0
2025-05-21,Monster,Energetico,236,325.73,16.29,309.44,0.0,5.0,0.35
2018-03-22,Sprite,Refrigerante,397,241.22,12.06,229.16,3015.46,5.0,13.79
2020-09-07,Coca-Cola Classica,Refrigerante,514,325.05,32.51,292.54,3970.82,10.0,20.34
2023-06-02,Powerade,Bebida Esportiva,182,158.09,0.0,158.09,0.0,0.0,0.0
2024-07-02,Minute Maid,Suco,282,203.04,0.0,203.04,2186.35,0.0,12.05
2018-04-20,Coca-Cola Classica,Refrigerante,548,346.56,17.33,329.23,4694.94,5.0,25.64
2021-06-30,Sprite,Refrigerante,170,103.29,0.0,103.29,0.0,0.0,0.0
2021-06-08,Coca-Cola Classica,Refrigerante,403,254.86,12.74,242.12,2973.14,5.0,19.37
2018-11-10,Fanta,Refrigerante,505,309.97,0.0,309.97,4394.25,0.0,24.99
2018-09-10,Minute Maid,Suco,185,133.2,0.0,133.2,483.87,0.0,3.75
2023-02-23,Fanta,Refrigerante,215,131.97,0.0,131.97,0.0,0.0,0.0
2019-11-13,Dasani,Agua,102,34.68,0.0,34.68,0.0,0.0,0.0
2018-04-19,Fanta,Refrigerante,429,263.32,0.0,263.32,3099.7,0.0,17.1
2019-10-11,Monster,Energetico,189,260.86,0.0,260.86,0.0,0.0,0.26
2019-10-20,Fanta,Refrigerante,389,238.77,23.88,214.89,2796.47,10.0,12.6
2024-07-10,Schweppes,Refrigerante,451,279.62,0.0,279.62,3890.37,0.0,21.13
2023-09-25,Coca-Cola Diet,Refrigerante,237,146.94,0.0,146.94,1166.47,0.0,6.44
2019-10-11,Fanta,Refrigerante,467,286.64,0.0,286.64,4125.03,0.0,22.36
2018-10-21,Coca-Cola Diet,Refrigerante,366,226.92,0.0,226.92,2592.55,0.0,13.04
2020-02-02,Powerade,Bebida Esportiva,549,476.86,0.0,476.86,4210.04,0.0,22.35
2021-04-14,Monster,Energetico,207,285.7,14.28,271.42,0.0,5.0,0.0
2024-08-12,Fanta,Refrigerante,331,203.17,0.0,203.17,2001.12,0.0,11.14
2018-12-07,Sprite,Refrigerante,503,305.62,30.56,275.06,4462.4,10.0,25.45
2019-06-10,Coca-Cola Zero,Refrigerante,468,293.06,29.31,263.75,3949.11,10.0,23.34
2019-08-03,Monster,Energetico,561,774.29,0.0,774.29,3944.2,0.0,21.25
2022-07-20,Powerade,Bebida Esportiva,438,380.45,0.0,380.45,2854.28,0.0,15.01
2025-03-22,Coca-Cola Classica,Refrigerante,213,134.7,0.0,134.7,0.0,0.0,0.66
2022-01-19,Coca-Cola Diet,Refrigerante,217,134.54,6.73,127.81,541.3,5.0,3.89
2020-11-11,Monster,Energetico,223,307.78,0.0,307.78,0.0,0.0,0.0
2018-03-25,Coca-Cola Diet,Refrigerante,345,213.9,21.39,192.51,2273.81,10.0,13.69
2025-04-16,Fanta,Refrigerante,270,165.73,8.29,157.44,1114.65,5.0,7.6
2021-02-10,Fanta,Refrigerante,524,321.63,32.16,289.47,4533.62,10.0,26.87
2018-12-30,Powerade,Bebida Esportiva,230,199.78,9.99,189.79,622.81,5.0,6.09
2021-06-03,Monster,Energetico,589,812.94,81.29,731.65,4621.43,10.0,24.12
2020-01-31,Sprite,Refrigerante,416,252.76,0.0,252.76,3064.42,0.0,16.88
2022-08-18,Minute Maid,Suco,413,297.36,0.0,297.36,2797.18,0.0,15.4
2025-07-12,Powerade,Bebida Esportiva,287,249.29,0.0,249.29,395.05,0.0,2.03
2022-04-12,Coca-Cola Classica,Refrigerante,191,120.79,12.08,108.71,431.09,10.0,1.4
2018-10-27,Monster,Energetico,233,321.59,16.08,305.51,0.0,5.0,0.0
2020-09-21,Coca-Cola Zero,Refrigerante,381,238.58,23.86,214.72,3168.97,10.0,17.57
2025-10-06,Coca-Cola Diet,Refrigerante,457,283.34,0.0,283.34,3894.62,0.0,20.27
2025-07-30,Coca-Cola Zero,Refrigerante,357,223.55,22.36,201.19,2251.18,10.0,12.51
2018-06-27,Coca-Cola Diet,Refrigerante,438,271.56,13.58,257.98,3042.5,5.0,15.54
2022-05-30,Dasani,Agua,202,68.68,3.43,65.25,1602.6,5.0,7.16
2022-07-06,Monster,Energetico,224,309.16,30.92,278.24,0.0,10.0,0.35
2021-06-10,Dasani,Agua,50,17.0,0.0,17.0,0.0,0.0,0.23
2018-01-14,Powerade,Bebida Esportiva,380,330.07,0.0,330.07,2323.18,0.0,13.65
2020-04-23,Sprite,Refrigerante,347,210.84,10.54,200.3,2580.59,5.0,17.47
2024-01-06,Schweppes,Refrigerante,242,150.04,0.0,150.04,1003.44,0.0,5.93
2023-12-06,Coca-Cola Classica,Refrigerante,354,223.87,0.0,223.87,2608.34,0.0,15.07
2021-02-07,Fanta,Refrigerante,178,109.26,0.0,109.26,0.0,0.0,0.0
2021-06-11,Coca-Cola Zero,Refrigerante,213,133.38,0.0,133.38,1025.87,0.0,3.71
2022-11-01,Coca-Cola Zero,Refrigerante,154,96.43,9.64,86.79,136.39,10.0,3.12
2018-09-17,Powerade,Bebida Esportiva,450,390.87,19.54,371.33,2487.77,5.0,12.3
2019-05-11,Powerade,Bebida Esportiva,178,154.61,0.0,154.61,0.0,0.0,0.0
2023-04-02,Sprite,Refrigerante,243,147.65,0.0,147.65,1204.32,0.0,6.57
2023-08-08,Monster,Energetico,447,616.95,0.0,616.95,2153.94,0.0,11.71
2020-03-23,Dasani,Agua,464,157.76,7.89,149.87,3883.15,5.0,20.0
2020-10-03,Monster,Energetico,431,594.87,59.49,535.38,2933.66,10.0,15.68
2021-06-09,Coca-Cola Diet,Refrigerante,236,146.32,14.63,131.69,868.11,10.0,6.62
2019-03-15,Coca-Cola Diet,Refrigerante,189,117.18,0.0,117.18,0.0,0.0,0.0
2019-03-09,Minute Maid,Suco,295,212.4,0.0,212.4,1485.41,0.0,6.08
2022-05-22,Fanta,Refrigerante,155,95.14,4.76,90.38,0.0,5.0,1.41
2025-03-23,Monster,Energetico,534,737.03,36.85,700.18,4004.52,5.0,22.76
2024-09-18,Coca-Cola Classica,Refrigerante,306,193.51,9.68,183.83,1414.9,5.0,6.85
2024-12-18,Fanta,Refrigerante,432,265.16,13.26,251.9,3214.38,5.0,15.31
2021-02-19,Fanta,Refrigerante,428,262.71,13.14,249.57,3433.7,5.0,17.77
2022-11-24,Minute Maid,Suco,287,206.64,0.0,206.64,2001.19,0.0,10.92
2023-06-14,Sprite,Refrigerante,314,190.79,0.0,190.79,2242.11,0.0,14.08
2018-08-02,Monster,Energetico,317,437.52,0.0,437.52,1104.13,0.0,4.52
2023-08-20,Coca-Cola Classica,Refrigerante,422,266.87,0.0,266.87,3316.08,0.0,18.11
2018-12-24,Minute Maid,Suco,146,105.12,0.0,105.12,0.0,0.0,1.01
2021-02-26,Coca-Cola Diet,Refrigerante,515,319.3,15.96,303.34,4649.26,5.0,22.0
2023-12-25,Sprite,Refrigerante,192,116.66,0.0,116.66,0.0,0.0,1.55
2021-03-09,Minute Maid,Suco,349,251.28,0.0,251.28,2444.41,0.0,11.67
2024-01-22,Coca-Cola Classica,Refrigerante,300,189.72,9.49,180.23,1547.02,5.0,9.01
2021-07-11,Schweppes,Refrigerante,433,268.46,13.42,255.04,3258.61,5.0,18.29
2025-01-24,Coca-Cola Zero,Refrigerante,542,339.4,0.0,339.4,4804.72,0.0,28.05
2020-02-26,Minute Maid,Suco,282,203.04,20.3,182.74,1889.19,10.0,11.22
2018-12-05,Coca-Cola Zero,Refrigerante,202,126.49,12.65,113.84,528.38,10.0,0.0
2023-11-10,Fanta,Refrigerante,399,244.91,12.25,232.66,2808.86,5.0,14.27
2024-02-19,Dasani,Agua,179,60.86,3.04,57.82,1082.79,5.0,6.16
2023-06-10,Dasani,Agua,152,51.68,0.0,51.68,0.0,0.0,0.0
2022-01-09,Coca-Cola Diet,Refrigerante,553,342.86,34.29,308.57,4448.96,10.0,25.19
2024-09-11,Powerade,Bebida Esportiva,533,462.96,0.0,462.96,4183.73,0.0,24.19
2021-10-27,Coca-Cola Diet,Refrigerante,276,171.12,17.11,154.01,1529.97,10.0,9.33
2024-11-01,Powerade,Bebida Esportiva,417,362.21,18.11,344.1,3124.57,5.0,16.86
2020-11-30,Coca-Cola Zero,Refrigerante,361,226.06,0.0,226.06,2015.21,0.0,8.31
2023-02-26,Minute Maid,Suco,147,105.84,0.0,105.84,0.0,0.0,0.0
2025-02-07,Monster,Energetico,595,821.22,41.06,780.16,4566.72,5.0,25.74
2023-03-10,Sprite,Refrigerante,236,143.39,7.17,136.22,1332.95,5.0,5.7
2019-12-25,Monster,Energetico,620,855.72,0.0,855.72,4762.96,0.0,27.14
2020-01-12,Coca-Cola Classica,Refrigerante,473,299.13,14.96,284.17,3755.4,5.0,22.02
2023-04-15,Coca-Cola Zero,Refrigerante,471,294.94,29.49,265.45,4256.28,10.0,23.6
2020-05-01,Coca-Cola Classica,Refrigerante,346,218.81,10.94,207.87,2370.93,5.0,8.44
2023-07-24,Powerade,Bebida Esportiva,479,416.06,20.8,395.26,3496.2,5.0,17.31
2023-06-16,Coca-Cola Diet,Refrigerante,319,197.78,0.0,197.78,1834.5,0.0,12.92
2019-11-16,Fanta,Refrigerante,173,106.19,5.31,100.88,0.0,5.0,0.0
2020-02-11,Dasani,Agua,382,129.88,0.0,129.88,3794.91,0.0,17.9
2021-12-13,Minute Maid,Suco,194,139.68,13.97,125.71,805.91,10.0,6.29
