id_registro,data,loja,entradas,horas_equipe,investimento_divulgacao,canal_divulgacao,desconto_campanha_pct,disponibilidade_produtos_pct,espera_media_min,cupons_emitidos,receita_liquida,lucro_bruto
R00025,2024-01-04,L4,85,28.5,0.00,Sem divulgação,0,97.7,6.3,34,2630.73,1064.58
R00026,2024-01-04,L8,194,36.3,200.83,Redes sociais,0,91.9,11.5,41,2867.68,1146.20
R00027,2024-01-04,L2,138,37.0,0.00,Sem divulgação,0,95.5,7.8,36,2308.83,881.90
R00028,2024-01-04,L1,186,33.1,0.00,Sem divulgação,0,96.2,11.0,48,2978.14,1202.56
R00029,2024-01-04,L7,205,42.2,89.39,Mídia local,10,93.4,10.1,43,2844.10,904.23
R00030,2024-01-04,L6,165,40.4,0.00,Sem divulgação,10,96.6,7.6,44,2394.44,826.88
R00031,2024-01-04,L3,250,47.3,93.13,Redes sociais,10,87.9,10.0,29,2267.82,712.47
R00032,2024-01-04,L5,314,51.0,67.35,Mídia local,5,91.4,13.6,26,1902.30,692.52
R00033,2024-01-05,L4,184,42.4,156.50,WhatsApp,5,99.1,8.9,94,6357.05,2386.36
R00034,2024-01-05,L8,221,40.0,251.38,WhatsApp,5,95.5,12.2,45,2958.18,1134.64
R00035,2024-01-05,L2,213,43.7,72.73,Mídia local,20,96.5,10.2,76,4720.92,1289.07
R00036,2024-01-05,L1,210,56.1,135.67,WhatsApp,15,92.9,7.3,65,3385.48,1211.14
R00037,2024-01-05,L7,246,55.7,231.15,Redes sociais,10,91.0,10.3,51,3698.99,1177.96
R00038,2024-01-05,L6,246,50.6,86.78,Redes sociais,20,93.8,8.9,67,4796.56,1484.44
R00039,2024-01-05,L3,306,52.8,0.00,Sem divulgação,20,94.6,12.7,58,4296.03,1164.88
R00040,2024-01-05,L5,303,57.5,0.00,Sem divulgação,0,83.3,11.3,34,2653.65,1037.90
R00041,2024-01-06,L4,171,38.6,109.53,Redes sociais,10,98.1,9.3,70,4889.68,1766.16
R00042,2024-01-06,L8,194,42.6,92.43,Mídia local,15,95.8,8.9,78,4463.88,1477.51
R00043,2024-01-06,L2,221,46.9,212.11,Redes sociais,20,94.9,9.7,76,4898.24,1502.87
R00044,2024-01-06,L1,245,47.1,194.85,WhatsApp,5,97.5,10.1,85,4723.22,1869.57
R00045,2024-01-06,L7,305,53.1,357.44,WhatsApp,0,95.4,10.3,70,5282.74,1918.63
R00046,2024-01-06,L6,223,43.4,0.00,Sem divulgação,0,97.0,11.6,63,4328.16,1602.80
R00047,2024-01-06,L3,262,59.1,106.88,Mídia local,10,96.7,9.5,65,4705.08,1399.01
R00048,2024-01-06,L5,307,62.0,148.03,Redes sociais,10,95.2,10.1,72,5980.30,2072.31
R00049,2024-01-08,L4,134,40.6,71.12,Redes sociais,10,97.5,6.6,58,4054.09,1465.80
R00050,2024-01-08,L8,198,30.0,102.71,Redes sociais,5,97.3,13.4,44,2826.59,1039.06
R00051,2024-01-08,L2,209,42.1,173.52,WhatsApp,10,94.8,11.2,45,3315.26,1163.78
R00052,2024-01-08,L1,238,49.3,103.73,Redes sociais,15,98.4,10.1,93,5805.25,2138.96
R00053,2024-01-08,L7,145,41.6,0.00,Sem divulgação,20,95.8,7.8,48,3993.64,1275.26
R00054,2024-01-08,L6,329,49.5,83.48,Mídia local,20,96.4,13.9,71,4818.73,1388.11
R00055,2024-01-08,L3,230,48.9,0.00,Sem divulgação,5,95.7,10.6,50,3758.03,1225.91
R00056,2024-01-08,L5,282,56.5,85.84,WhatsApp,5,96.8,11.2,62,4836.28,1795.88
R00057,2024-01-09,L4,170,34.4,110.74,Redes sociais,0,96.9,9.8,45,3498.17,1358.43
R00058,2024-01-09,L8,174,37.5,173.57,Redes sociais,0,96.7,9.9,47,3502.12,1394.87
R00059,2024-01-09,L2,176,31.6,0.00,Sem divulgação,5,91.2,12.2,41,3305.25,1188.37
R00060,2024-01-09,L1,203,34.7,0.00,Sem divulgação,0,94.5,13.0,38,2802.85,1120.62
R00061,2024-01-09,L7,225,50.0,105.47,WhatsApp,0,96.7,10.2,32,2321.26,820.94
R00062,2024-01-09,L6,312,47.5,138.88,Mídia local,5,94.5,15.0,77,5526.70,1997.52
R00063,2024-01-09,L3,315,58.4,314.72,Redes sociais,15,94.9,11.2,64,5085.48,1537.18
R00064,2024-01-09,L5,292,59.6,207.57,Redes sociais,0,92.9,10.7,34,2230.26,848.72
R00065,2024-01-10,L4,167,32.7,125.30,Mídia local,10,98.9,9.5,66,3929.80,1366.47
R00066,2024-01-10,L8,129,33.2,56.29,Mídia local,10,94.3,4.8,50,3630.49,1350.54
R00067,2024-01-10,L2,203,34.3,115.04,Mídia local,10,98.6,12.6,68,5074.20,1686.57
R00068,2024-01-10,L1,244,43.1,150.70,Redes sociais,0,98.4,12.4,59,3822.71,1586.29
R00069,2024-01-10,L7,242,47.9,197.39,Redes sociais,15,96.6,11.1,51,3689.98,1070.22
R00070,2024-01-10,L6,175,47.4,0.00,Sem divulgação,0,95.1,8.3,37,2441.02,925.91
R00071,2024-01-10,L3,285,49.7,0.00,Sem divulgação,0,97.5,13.7,44,3109.08,1108.25
R00072,2024-01-10,L5,298,48.7,0.00,Sem divulgação,10,93.9,14.1,26,1984.52,696.04
R00073,2024-01-11,L4,122,34.9,0.00,Sem divulgação,0,95.7,6.1,43,3263.34,1230.07
R00074,2024-01-11,L8,142,32.7,0.00,Sem divulgação,10,97.6,8.5,49,3343.44,1197.33
R00075,2024-01-11,L2,154,31.1,0.00,Sem divulgação,5,95.2,10.9,35,2608.50,923.53
R00076,2024-01-11,L1,171,35.7,0.00,Sem divulgação,15,97.0,10.1,57,3234.17,1229.19
R00077,2024-01-11,L7,356,45.2,362.79,Redes sociais,15,95.7,16.7,62,3876.62,1199.73
R00078,2024-01-11,L6,308,56.6,191.12,WhatsApp,0,91.2,11.2,72,5875.67,2091.11
R00079,2024-01-11,L3,229,49.1,0.00,Sem divulgação,15,93.6,11.4,42,2876.09,833.42
R00080,2024-01-11,L5,235,54.4,0.00,Sem divulgação,10,96.8,8.6,76,5351.12,1901.84
R00081,2024-01-12,L4,175,43.0,128.26,WhatsApp,0,96.4,7.1,67,5018.90,1944.45
R00082,2024-01-12,L8,145,36.4,0.00,Sem divulgação,0,96.0,8.9,52,3067.89,1229.95
R00083,2024-01-12,L2,196,42.1,0.00,Sem divulgação,0,94.5,8.6,35,2592.16,970.88
R00084,2024-01-12,L1,223,47.9,84.68,Redes sociais,5,95.6,8.9,63,4300.15,1674.36
R00085,2024-01-12,L7,207,41.7,0.00,Sem divulgação,5,96.1,11.0,49,4024.56,1334.92
R00086,2024-01-12,L6,320,56.5,173.22,Redes sociais,5,95.6,12.8,64,4758.11,1745.82
R00087,2024-01-12,L3,296,61.3,165.20,WhatsApp,0,94.8,13.5,43,3936.71,1402.52
R00088,2024-01-12,L5,320,61.6,218.05,Redes sociais,20,95.6,11.8,61,4884.32,1597.72
R00089,2024-01-13,L4,183,39.1,0.00,Sem divulgação,5,94.5,8.9,67,4593.57,1704.12
R00090,2024-01-13,L8,255,45.4,224.75,Redes sociais,5,95.5,10.7,73,4641.71,1821.10
R00091,2024-01-13,L2,239,48.8,138.83,WhatsApp,0,80.5,10.1,44,2693.10,1004.80
R00092,2024-01-13,L1,289,53.2,209.28,Mídia local,5,98.7,12.7,71,5229.26,2016.32
R00093,2024-01-13,L7,225,48.7,0.00,Sem divulgação,15,92.5,8.5,64,4482.69,1348.02
R00094,2024-01-13,L6,216,52.0,0.00,Sem divulgação,15,94.9,9.1,47,3229.56,1053.39
R00095,2024-01-13,L3,328,58.1,141.01,WhatsApp,20,94.9,12.5,54,4358.94,1273.86
R00096,2024-01-13,L5,327,62.0,129.77,Redes sociais,10,95.8,13.1,59,4125.43,1476.39
R00097,2024-01-15,L4,168,37.5,198.01,Redes sociais,10,97.1,8.0,61,4864.74,1716.13
R00098,2024-01-15,L8,95,41.0,0.00,Sem divulgação,0,97.5,5.3,36,2253.38,889.81
R00099,2024-01-15,L2,126,29.8,0.00,Sem divulgação,10,95.8,9.7,27,1813.03,624.79
R00100,2024-01-15,L1,179,38.5,0.00,Sem divulgação,0,98.6,10.1,51,3094.39,1278.81
R00101,2024-01-15,L7,240,45.3,117.00,WhatsApp,0,94.4,11.9,41,3582.97,1254.90
R00102,2024-01-15,L6,209,40.2,0.00,Sem divulgação,0,88.9,9.9,44,3227.13,1218.92
R00103,2024-01-15,L3,195,46.7,0.00,Sem divulgação,0,95.6,8.3,32,2231.33,737.18
R00104,2024-01-15,L5,289,49.8,0.00,Sem divulgação,10,96.1,14.2,38,2511.82,869.11
R00105,2024-01-16,L4,171,42.0,240.49,Mídia local,15,95.4,7.1,84,4975.25,1506.81
R00106,2024-01-16,L8,230,38.5,203.26,Redes sociais,5,95.2,12.2,49,3471.33,1280.90
R00107,2024-01-16,L2,144,27.5,0.00,Sem divulgação,15,94.0,10.8,52,4113.48,1293.15
R00108,2024-01-16,L1,263,48.8,200.64,WhatsApp,0,95.4,11.2,55,4107.76,1656.53
R00109,2024-01-16,L7,250,42.8,0.00,Sem divulgação,5,94.7,13.3,35,3406.55,1176.37
R00110,2024-01-16,L6,274,52.8,66.76,WhatsApp,5,94.9,9.7,82,5532.09,2012.57
R00111,2024-01-16,L3,315,54.9,78.85,Mídia local,20,95.3,13.5,64,4661.35,1307.74
R00112,2024-01-16,L5,305,58.4,113.26,Redes sociais,10,94.5,11.1,51,3670.82,1253.91
R00113,2024-01-17,L4,156,29.7,96.98,WhatsApp,0,98.1,10.8,39,2775.34,1072.92
R00114,2024-01-17,L8,158,35.0,116.78,WhatsApp,20,99.9,8.1,78,3828.01,1295.06
R00115,2024-01-17,L2,150,43.8,136.92,Redes sociais,0,95.6,6.2,44,3817.06,1377.67
R00116,2024-01-17,L1,175,38.7,0.00,Sem divulgação,20,96.2,9.0,58,2883.06,926.99
R00117,2024-01-17,L7,205,47.4,193.42,WhatsApp,20,86.6,8.5,50,3650.36,974.03
R00118,2024-01-17,L6,222,50.0,230.65,Redes sociais,0,95.6,9.2,50,3247.38,1194.77
R00119,2024-01-17,L3,199,49.6,0.00,Sem divulgação,20,94.8,8.5,60,3373.35,800.54
R00120,2024-01-17,L5,235,51.1,66.73,WhatsApp,15,95.9,10.4,34,2420.19,837.23
R00121,2024-01-18,L4,143,36.5,98.35,Redes sociais,10,99.9,8.1,64,5103.12,1765.07
R00122,2024-01-18,L8,195,40.8,111.04,Redes sociais,0,97.1,8.9,69,4984.00,1960.41
R00123,2024-01-18,L2,209,37.6,150.29,Redes sociais,15,94.4,9.8,67,5082.65,1647.75
R00124,2024-01-18,L1,180,36.1,0.00,Sem divulgação,0,95.3,11.1,57,3620.05,1515.00
R00125,2024-01-18,L7,311,54.5,267.46,Redes sociais,5,94.8,12.4,59,4437.04,1603.32
R00126,2024-01-18,L6,259,46.8,0.00,Sem divulgação,10,95.3,11.8,64,3828.51,1245.86
R00127,2024-01-18,L3,275,48.0,0.00,Sem divulgação,10,97.4,12.2,73,5916.81,1877.63
R00128,2024-01-18,L5,287,52.4,0.00,Sem divulgação,15,93.3,11.5,50,4019.65,1349.35
R00129,2024-01-19,L4,148,38.1,110.99,Redes sociais,5,96.9,7.4,47,3694.18,1371.41
R00130,2024-01-19,L8,231,42.7,135.24,WhatsApp,0,94.4,11.3,47,3241.88,1331.87
R00131,2024-01-19,L2,239,43.9,154.01,Redes sociais,0,94.8,12.9,51,3879.85,1422.99
R00132,2024-01-19,L1,223,45.0,0.00,Sem divulgação,0,97.9,11.1,48,3191.02,1314.63
R00133,2024-01-19,L7,300,48.3,75.12,Redes sociais,0,94.6,12.7,51,3907.59,1462.19
R00134,2024-01-19,L6,367,58.5,390.86,Mídia local,15,94.8,13.8,147,9671.06,3222.11
R00135,2024-01-19,L3,315,53.5,102.24,Redes sociais,0,94.8,13.2,35,3164.07,1132.63
R00136,2024-01-19,L5,337,61.9,99.38,Redes sociais,0,93.8,10.9,71,7665.86,2914.15
R00137,2024-01-20,L4,184,45.1,109.71,WhatsApp,15,97.4,8.0,83,4800.63,1599.18
R00138,2024-01-20,L8,243,48.9,143.55,Redes sociais,5,96.9,9.3,66,3994.38,1530.77
R00139,2024-01-20,L2,181,42.6,0.00,Sem divulgação,10,94.1,8.2,60,4529.89,1616.16
R00140,2024-01-20,L1,281,52.0,347.45,WhatsApp,5,97.4,11.9,53,3000.61,1183.21
R00141,2024-01-20,L7,257,45.2,0.00,Sem divulgação,0,94.7,12.0,47,3149.86,1135.88
R00142,2024-01-20,L6,318,60.6,300.40,Mídia local,15,95.8,10.6,126,8347.45,2653.29
R00143,2024-01-20,L3,258,51.5,0.00,Sem divulgação,5,96.9,11.7,58,4441.85,1485.88
R00144,2024-01-20,L5,448,62.0,268.63,WhatsApp,0,96.1,16.2,46,3366.69,1305.53
R00145,2024-01-22,L4,189,37.5,157.95,WhatsApp,0,88.8,10.0,53,3716.99,1474.51
R00146,2024-01-22,L8,174,44.2,149.63,WhatsApp,10,94.8,7.1,71,3892.69,1420.00
R00147,2024-01-22,L2,217,43.2,165.98,Redes sociais,15,96.0,10.4,75,5672.39,1791.64
R00148,2024-01-22,L1,227,47.4,115.33,WhatsApp,5,96.4,11.1,51,3333.70,1317.17
R00149,2024-01-22,L7,204,48.1,113.57,Redes sociais,0,94.3,8.2,44,3276.55,1177.98
R00150,2024-01-22,L6,275,50.8,92.74,Redes sociais,0,94.0,12.4,81,5903.76,2312.97
R00151,2024-01-22,L3,317,61.2,191.14,Redes sociais,0,96.7,11.0,63,4884.86,1683.49
R00152,2024-01-22,L5,302,58.6,143.78,Redes sociais,0,94.5,12.0,44,3813.25,1473.67
R00153,2024-01-23,L4,166,37.4,161.42,Mídia local,15,94.3,7.1,65,4695.69,1653.41
R00154,2024-01-23,L8,179,33.5,99.32,Mídia local,5,96.7,10.9,47,2147.66,829.88
R00155,2024-01-23,L2,141,37.5,0.00,Sem divulgação,10,96.1,6.2,48,3403.25,1147.09
R00156,2024-01-23,L1,247,47.7,116.55,Mídia local,15,96.1,10.2,84,5071.72,1800.72
R00157,2024-01-23,L7,203,39.4,0.00,Sem divulgação,5,96.0,10.4,48,3360.47,1119.26
R00158,2024-01-23,L6,150,37.0,0.00,Sem divulgação,0,95.6,8.9,32,2410.18,911.41
R00159,2024-01-23,L3,257,50.2,54.44,WhatsApp,10,98.9,10.5,60,4065.63,1307.14
R00160,2024-01-23,L5,309,53.3,111.63,WhatsApp,10,94.1,12.7,47,3498.16,1238.59
R00161,2024-01-24,L4,158,27.4,136.84,WhatsApp,5,96.4,11.5,41,3224.30,1217.07
R00162,2024-01-24,L8,130,26.5,0.00,Sem divulgação,5,96.4,9.2,35,2053.64,807.56
R00163,2024-01-24,L2,146,40.4,110.13,WhatsApp,5,94.2,6.5,42,3168.07,1174.00
R00164,2024-01-24,L1,175,37.3,0.00,Sem divulgação,5,96.0,8.4,58,3350.40,1351.40
R00165,2024-01-24,L7,226,47.0,140.23,WhatsApp,5,97.1,9.2,72,6001.44,1981.29
R00166,2024-01-24,L6,206,46.4,162.68,Redes sociais,10,93.4,9.2,54,3893.49,1381.64
R00167,2024-01-24,L3,244,51.9,280.29,Redes sociais,0,93.6,12.8,27,1865.68,645.37
R00168,2024-01-24,L5,264,50.7,137.58,Redes sociais,0,92.7,12.8,20,1715.56,689.43
R00169,2024-01-25,L4,170,36.7,208.47,Redes sociais,0,95.8,8.2,61,5150.77,1995.77
R00170,2024-01-25,L8,145,32.4,0.00,Sem divulgação,5,94.0,9.7,44,2570.56,957.81
R00171,2024-01-25,L2,198,34.8,0.00,Sem divulgação,15,94.8,12.6,53,4320.88,1345.16
R00172,2024-01-25,L1,209,41.4,0.00,Sem divulgação,5,98.1,9.7,55,3539.65,1347.44
R00173,2024-01-25,L7,188,44.9,202.05,Mídia local,5,98.1,8.2,46,3825.43,1348.74
R00174,2024-01-25,L6,267,49.0,164.71,WhatsApp,15,92.3,12.3,63,4513.68,1413.17
R00175,2024-01-25,L3,217,49.0,61.95,Redes sociais,10,93.8,11.7,31,2674.46,862.39
R00176,2024-01-25,L5,264,48.0,0.00,Sem divulgação,10,82.5,12.4,32,2173.70,758.41
R00177,2024-01-26,L4,160,35.8,100.57,Redes sociais,0,98.3,9.0,53,3772.03,1455.97
R00178,2024-01-26,L8,157,35.0,0.00,Sem divulgação,20,98.1,8.4,70,3937.75,1229.32
R00179,2024-01-26,L2,229,38.5,78.07,WhatsApp,0,94.1,12.8,51,3564.04,1357.00
R00180,2024-01-26,L1,212,43.1,135.23,Mídia local,5,97.2,10.0,45,2950.68,1184.48
R00181,2024-01-26,L7,285,53.5,273.55,Redes sociais,20,95.6,13.6,72,5288.27,1481.05
R00182,2024-01-26,L6,273,52.0,162.08,Mídia local,15,92.5,10.8,60,4218.15,1403.37
R00183,2024-01-26,L3,319,51.0,164.45,Mídia local,20,96.0,13.4,57,4790.22,1235.72
R00184,2024-01-26,L5,313,54.7,88.49,WhatsApp,0,92.1,11.8,56,4556.44,1787.18
R00185,2024-01-27,L4,177,29.1,0.00,Sem divulgação,0,97.4,11.7,46,2816.28,1088.68
R00186,2024-01-27,L8,216,42.3,120.41,Redes sociais,15,96.3,10.3,62,3659.24,1250.75
R00187,2024-01-27,L2,227,42.0,174.07,WhatsApp,0,96.9,10.3,43,3158.97,1161.38
R00188,2024-01-27,L1,169,40.7,0.00,Sem divulgação,0,96.6,9.7,38,2884.08,1152.70
R00189,2024-01-27,L7,325,53.0,153.97,WhatsApp,5,95.7,15.0,55,3453.69,1187.33
R00190,2024-01-27,L6,274,52.2,90.41,Mídia local,15,91.5,11.0,88,6102.58,1974.94
R00191,2024-01-27,L3,279,54.7,70.77,Redes sociais,10,93.7,11.5,53,4029.08,1264.18
R00192,2024-01-27,L5,296,51.3,104.56,WhatsApp,15,96.5,11.1,97,6570.43,2159.31
R00193,2024-01-29,L4,131,35.2,145.36,Redes sociais,5,95.2,5.8,61,3739.57,1383.47
R00194,2024-01-29,L8,208,43.6,278.53,Redes sociais,5,98.6,9.4,64,3992.75,1610.25
R00195,2024-01-29,L2,161,36.3,0.00,Sem divulgação,0,95.2,9.6,34,2373.45,868.99
R00196,2024-01-29,L1,191,34.5,0.00,Sem divulgação,15,97.1,12.4,60,3585.31,1240.12
R00197,2024-01-29,L7,153,36.3,0.00,Sem divulgação,10,93.5,9.5,40,2880.30,942.00
R00198,2024-01-29,L6,232,53.2,84.72,Redes sociais,0,92.9,9.0,53,3552.62,1349.89
R00199,2024-01-29,L3,181,48.1,0.00,Sem divulgação,10,100.0,8.9,57,4389.37,1298.76
R00200,2024-01-29,L5,274,48.3,0.00,Sem divulgação,20,94.6,12.8,55,4051.19,1260.06
R00201,2024-01-30,L4,123,21.5,0.00,Sem divulgação,5,97.5,10.7,51,3671.97,1357.25
R00202,2024-01-30,L8,102,26.5,0.00,Sem divulgação,5,93.9,7.4,36,2124.04,827.56
R00203,2024-01-30,L2,144,29.7,142.84,Redes sociais,10,94.1,9.6,35,2424.94,811.89
R00204,2024-01-30,L1,188,40.7,193.62,Redes sociais,0,96.2,11.9,43,2802.72,1245.45
R00205,2024-01-30,L7,259,46.6,196.41,WhatsApp,0,92.3,12.9,39,3368.08,1241.03
R00206,2024-01-30,L6,228,47.4,0.00,Sem divulgação,15,96.1,10.1,73,4739.06,1567.39
R00207,2024-01-30,L3,235,49.1,0.00,Sem divulgação,15,95.9,9.8,61,4179.87,1341.76
R00208,2024-01-30,L5,290,51.2,106.84,Mídia local,5,91.1,12.3,60,4390.17,1559.76
R00209,2024-01-31,L4,151,33.3,107.43,Mídia local,0,95.8,7.9,47,3127.33,1267.72
R00210,2024-01-31,L8,185,38.3,0.00,Sem divulgação,5,96.4,8.9,64,4072.83,1600.02
R00211,2024-01-31,L2,218,44.8,206.80,Redes sociais,10,93.5,9.3,52,4162.43,1359.13
R00212,2024-01-31,L1,189,34.5,0.00,Sem divulgação,20,96.6,10.7,44,2525.43,906.57
R00213,2024-01-31,L7,199,45.0,58.01,Mídia local,0,94.4,8.1,47,3914.36,1413.13
R00214,2024-01-31,L6,219,45.0,0.00,Sem divulgação,5,96.0,10.1,46,3612.75,1249.14
R00215,2024-01-31,L3,280,46.2,0.00,Sem divulgação,15,97.4,12.9,67,5369.46,1413.69
R00216,2024-01-31,L5,324,52.9,95.39,WhatsApp,20,94.4,14.2,49,3091.96,979.01
R00217,2024-02-01,L4,127,32.6,113.88,WhatsApp,5,96.8,8.0,49,3083.23,1133.71
R00218,2024-02-01,L8,166,31.9,85.71,Mídia local,20,99.4,10.3,63,4038.67,1220.38
R00219,2024-02-01,L2,187,32.4,0.00,Sem divulgação,0,94.9,12.9,40,2827.29,1039.64
R00220,2024-02-01,L1,186,37.5,79.39,Redes sociais,5,97.5,13.0,40,2158.43,823.53
R00221,2024-02-01,L7,220,35.7,0.00,Sem divulgação,10,94.8,13.5,37,3119.03,1027.42
R00222,2024-02-01,L6,212,44.2,105.16,WhatsApp,5,92.4,10.9,62,4214.68,1495.04
R00223,2024-02-01,L3,234,45.5,0.00,Sem divulgação,15,96.6,11.1,44,3016.55,880.03
R00224,2024-02-01,L5,314,51.8,117.60,WhatsApp,5,93.9,14.1,54,3281.96,1212.69
R00225,2024-02-02,L4,121,31.6,0.00,Sem divulgação,0,97.9,7.1,44,3366.93,1339.95
R00226,2024-02-02,L8,129,29.3,0.00,Sem divulgação,0,96.1,8.2,39,2984.02,1170.52
R00227,2024-02-02,L2,167,36.4,0.00,Sem divulgação,20,97.5,9.8,49,3450.18,913.96
R00228,2024-02-02,L1,179,35.9,0.00,Sem divulgação,0,100.0,10.8,70,4022.65,1657.66
R00229,2024-02-02,L7,214,37.7,0.00,Sem divulgação,10,92.9,11.8,50,4197.73,1355.95
R00230,2024-02-02,L6,225,44.2,109.62,Redes sociais,15,94.0,9.9,46,3105.54,964.32
R00231,2024-02-02,L3,252,59.6,338.95,Redes sociais,5,93.2,8.7,43,4082.58,1426.54
R00232,2024-02-02,L5,211,54.1,0.00,Sem divulgação,15,91.0,8.3,57,3474.16,1248.46
R00233,2024-02-03,L4,142,38.1,0.00,Sem divulgação,5,96.3,6.8,61,4104.71,1557.63
R00234,2024-02-03,L8,250,45.1,173.90,WhatsApp,0,95.7,10.2,84,5391.30,2213.99
R00235,2024-02-03,L2,238,43.7,123.30,Redes sociais,0,95.8,11.4,47,4413.41,1702.94
R00236,2024-02-03,L1,249,41.3,0.00,Sem divulgação,15,95.4,14.2,55,2854.65,1031.45
R00237,2024-02-03,L7,286,56.6,78.30,WhatsApp,0,94.5,10.4,69,6176.72,2300.01
R00238,2024-02-03,L6,299,50.0,117.35,Mídia local,0,94.6,12.4,71,4315.30,1583.30
R00239,2024-02-03,L3,257,56.4,111.03,Mídia local,5,97.2,10.0,66,5706.12,1848.07
R00240,2024-02-03,L5,264,53.9,0.00,Sem divulgação,15,93.4,9.6,59,3357.70,1234.96
R00241,2024-02-05,L4,117,29.8,55.43,Redes sociais,0,95.3,7.0,43,2273.95,885.00
R00242,2024-02-05,L8,115,26.2,0.00,Sem divulgação,0,99.7,9.5,42,3351.86,1302.62
R00243,2024-02-05,L2,160,34.4,0.00,Sem divulgação,0,94.7,10.8,33,2553.09,976.34
R00244,2024-02-05,L1,165,42.6,157.63,Mídia local,15,94.4,6.5,55,3022.57,1127.67
R00245,2024-02-05,L7,229,41.6,168.91,Redes sociais,15,93.0,11.0,61,4332.79,1292.62
R00246,2024-02-05,L6,223,42.5,178.67,WhatsApp,15,93.5,10.2,67,4761.30,1622.33
R00247,2024-02-05,L3,174,38.5,0.00,Sem divulgação,0,96.2,9.2,33,2851.82,1008.63
R00248,2024-02-05,L5,190,32.7,0.00,Sem divulgação,5,95.6,13.2,26,1886.22,672.99
R00249,2024-02-06,L4,87,25.8,96.94,Redes sociais,0,98.2,7.7,34,2128.52,810.63
R00250,2024-02-06,L8,165,35.9,112.86,Mídia local,10,95.1,9.0,54,3538.04,1273.00
R00251,2024-02-06,L2,127,33.2,0.00,Sem divulgação,0,93.2,8.5,36,2538.52,950.63
R00252,2024-02-06,L1,158,30.4,50.86,Mídia local,10,95.6,10.8,54,3570.42,1322.96
R00253,2024-02-06,L7,193,35.4,0.00,Sem divulgação,5,94.4,10.8,44,3120.00,1073.91
R00254,2024-02-06,L6,245,41.2,101.17,Redes sociais,5,95.7,13.5,68,3842.37,1398.88
R00255,2024-02-06,L3,230,40.5,128.89,Redes sociais,0,96.8,9.8,40,3589.05,1238.17
R00256,2024-02-06,L5,231,51.1,256.32,Redes sociais,20,94.3,9.5,57,3685.78,1179.75
R00257,2024-02-07,L4,125,30.3,147.70,Redes sociais,20,97.2,7.8,44,2276.06,726.25
R00258,2024-02-07,L8,206,41.2,339.81,Redes sociais,0,96.0,9.5,50,3789.89,1515.48
R00259,2024-02-07,L2,199,40.5,201.84,Mídia local,20,95.8,9.8,78,5566.88,1571.99
R00260,2024-02-07,L1,151,33.6,0.00,Sem divulgação,10,96.0,10.1,53,3447.34,1299.51
